gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, solve fluid dynamic, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, algorithm Recent, information processor communicate, dynamic problem, lattice gas, communicate via classical
compute precise estimate, motion vector field, modify dynamic programming, estimation use modify, compute precise, vector field, field of move, move object, dynamic programming, modify dynamic, optimization problem, precise estimate, multiple dynamic image, dynamic, Motion estimation
artificial neural network, feedforward backpropagation artificial, backpropagation artificial neural, artificial neural, neural network, independent artificial neural, ANN, intend to automate, inspiration and expiration, feedforward backpropagation, automate the analysis, inspiration, backpropagation artificial, human expert, long - duration signal
culture be discuss, Underground poetry, librarian A powerful, powerful encounter, important role, collect poetry, poetry, Underground, acquire underground poetry, literature, acquisition difficulty encounter, unique publishing world, collect, discuss, encounter with underground
in - class setting student, setting student, Internet, Personality research, increasingly comfortable, in - class web survey, take - home web - base instrument, web - base datum, Web survey, take - home web survey, collect datum, datum, web - base, Web, student
inductive logic programming, inductive logic, logic programming, logic programming system, learn spatial relation, ability to learn, prerequisite for perform, perform many relevant, relevant task, learn function - free horn - clause, learn spatial, learn spatial relation, function - free horn - clause description, inductive, logic
geometrical distortion, digital image provide, Geometrically invariant watermarking, geometrical, paper present, image provide robustness, distortion, watermarke, counter geometrical distortion, scheme, point, feature point, Geometrically invariant, digital image, image provide
pervasive computing application, enterprise The paperless, paperless office, idea whose time, Pervasive computing, San Francisco, McKesson Corporation, compute application, author speak recently, mobile infrastructure software, Pervasive, McKesson, compute, work, interface
Web performance monitoring, complete view, performance monitoring, Web, Web infrastructure, Web performance, web site, performance, monitor, view, complete, concentrate on detail, infrastructure, neglect the big, big picture
quality of service, service control scheme, service control, self - adjust quality, control scheme, quality, propose and analyze, goal of optimize, service, QoS, penalty requirement, priority client, scheme, client, low priority client
carbonate fuel cell, molten carbonate fuel, MCFC stack, fuel cell, adaptive fuzzy control, MCFC, mcfc stack base, carbonate fuel, fuzzy control, improve availability, availability and performance, molten carbonate, adaptive fuzzy, stack, cell
read relevant literature, deliver a university, management faculty, observe other instructor, design and deliver, year of academic, involve trial, trial and error, error experimentation, read relevant, relevant literature, literature and observe, author have accumulate, preparation and delivery, instructor in action
linear dynamical system, Bayesian nonstationary autoregressive, variational Bayesian algorithm, nonstationary autoregressive model, multivariate autoregressive model, variational Bayesian, biomedical signal analysis, dynamical system, autoregressive model, describe a variational, time - vary coefficient, coefficient that adapt, linear dynamical, Bayesian nonstationary, Bayesian algorithm
Horizontal waypoint guidance, apply line - follow guidance, waypoint line segment, waypoint guidance design, Horizontal waypoint, line - follow guidance, line segment, waypoint line, guidance design, apply line - follow, waypoint guidance, guidance, waypoint, waypoint guidance algorithm, control A horizontal
product development present, early design stage, development present, present a prototype, innovative product development, design, system, develop system, prototype object - orient, object - orient and rule - base, product cost modelling, design stage, cost, early design, solid modelling system
datum visualization historically, visualization Historically, datum visualization, scatter plot, datum, limit primarily, three - dimensional scatter plot, multidimensional datum visualization, visualization, Historically, datum desk, Visualization Toolkit, produce three - dimensional scatter, datum visualization application, histogram or scatter
scalable quantum computing, quantum computing device, quantum computing proposal, compute device suffer, solid - state quantum computing, quantum computing, severe engineering constraint, scalable quantum, compute device, compute proposal, address solid - state proposal, device suffer, severe engineering, solid - state quantum, solution to problem
music non - specialist librarian, non - specialist librarian, librarian be alert, alert to factor, factor important, music non - specialist, scholarly edition, performance edition, successful acquisition, edition and performance, non - specialist, music, technical music vocabulary, music publish industry, acquisition
genetic algorithm guide, algorithm guide selection, algorithm guide, guide selection, guide selection method, selection method, Genetic algorithm, method, variable selection method, selection, variable selection, subset selection method, GAS, subset selection, xlogp datum set
business information limit, Reed Business Information, Reed Executive Plc, Reed Solutions Plc, Solutions Plc versus, justice pumfrey give, pumfrey give judgment, information limit, Reed Elsevier, Justice Pumfrey, Business Information, Executive Plc, Solutions Plc, Reed Executive, reed solution
linear discrete - time system, hide convexity, stationary linear discrete - time, finite - dimensional linear discrete - time, finite - dimensional stationary linear, conical control constraint, linear discrete - time, discrete - time system, finite - dimensional stationary, stationary linear, property of finite - dimensional, conical control, system under conical, continuous - time system, finite - dimensional linear
Ohio State University, state university librarie, university librarie depository, Ohio State, State University, university librarie, high - density off - site book, librarie depository, off - site book storage, Ohio, State, University, high - density off - site, librarie, depository The article
Information architecture, apply information architecture, design child portal, child web portal, Web portal, information architecture attribute, Information Architecture portion, systematic manner, logical and systematic, Information, architecture, information architect begin, design child, Web, apply information
level - continuous fuzzy set, separable Banach space, real separable Banach, Banach space, real continuous function, continuous function define, minkowski embed theorem, fuzzy set, level - continuous fuzzy, separable Banach, dual space, minkowski embed, Banach, set on banach, real separable
basic economic principle, dust jacket, economic principle, factor influence, influence the fair, fair market, hypothesize to influence, book be identify, identify and link, link to basic, basic economic, edition, condition, factor, dust
operation research problem, nonlinear programming problem, research problem formulate, advertising campaign, campaign of good, plan an advertising, good and service, present by belenky, mathematical model, model and operation, operation research, nonlinear programming, linear constraint, research problem, programming problem
amid industry reflection, safeguard civil liberty, San Francisco, place in San, amid industry, civil liberty, industry reflection, strike between combat, combat cyber - terrorism, cyber - terrorism and safeguard, safeguard civil, focus at NetSec, NetSec, Francisco, CSI event
quadratic minimized function, optimal control problem, computational finite - element scheme, minimized function, optimal control, problem be consider, consider for distribute, equation with conjugate, quadratic minimized, conjugation condition, distribute system, elliptic equation, conjugate condition, elliptic system, computational discretization scheme
World Wide Web, Wide Web marketing, World Wide, Wide Web, Web, hotel web site, web marketing application, Web marketing, industry relate web, hotel Web, web site, web base marketing, relate web marketing, web base relationship, hotel industry
order base qsar, operationally simple method, partial order base, base qsar, model order resemble, order base, electronic descriptor, end point, model order, experimental order, extension partial order, predict power, attractive and operationally, operationally simple, simple method
support decision make, general enterprise model, decision make, reluctant to invest, invest time, time and money, support decision, enterprise model, general enterprise, GEM, model, enterprise model framework, enterprise, current enterprise model, modelling issue
same - an open community, share teach resource, library service today, digital library, ilumina instructional resource, instructional resource, today and tomorrow, instructor in science, resource, distribute ilumina library, create and share, share teach, article be base, same - an open, open community
Private Universitat fur, Universitat fur Medizinische, fur Medizinische Informatik, Technik Tirol, Private Universitat, Medizinische Informatik, Informatik and Technik, discuss application area, Technology Tyrol, Universitat fur, fur Medizinische, important application area, global problem, global solution, application area
fuzzy modeling base, generalize conjunction operation, conjunction operation, model base, parametric generalize conjunction, parametric conjunction operation, Fuzzy modeling, generalized conjunction, conjunction operation simple, tune, operation, conjunction, tune of membership, base, model
examine time - inconsistent preference, biology - base model, examine time - inconsistent, time - inconsistent preference, emotional choice system, model of choice, emotional system assign, choice, Emotion, emotional choice, choice system, self - control, biology - base, model, examine
mechanical beam - steering component, replace mechanical beam - steering, optical phase array, liquid - crystal optical phased, mirror and gimbal, crystal optical phase, optical phase, phase array, beam - steering component, highly desirable, desirable to replace, replace mechanical, mechanical beam - steering, broadband imagery steer, liquid - crystal optical
lossy nonuniform transmission, nonuniform transmission line, model lossy uniform, differential quadrature method, differential quadrature, lossy nonuniform, nonuniform transmission, transmission line, DQM, lossy uniform, paper discuss, discuss an efficient, numerical approximation technique, efficient numerical approximation, quadrature method
Fast frequency acquisition, frequency acquisition phase - frequency, acquisition phase - frequency detector, design phase - frequency detector, frequency acquisition, phase - frequency detector, high operating frequency, Fast frequency, detector for gsample, acquisition phase - frequency, design phase - frequency, fast frequency, phase - lock loop, loop this paper, paper describe
non - newtonian hele - shaw flow, body force, force and source, injection moulding, give a formal, formal derivation, non - newtonian hele - shaw, hele - shaw flow, nonlinear system arise, force, equation for injection, non - newtonian flow, body, source, equation
computational color constancy, color constancy, color constancy algorithm, computational color, test computational color, synthesize datum, affect color constancy, color constancy quantity, color, algorithm, constancy, datum, Finlayson, method, constancy algorithm
heterogeneous territory, Location of transport, transport net, heterogeneous, transport route, Location, transport, territory, territory The location, study, territory be study, point, network, number of additional, net
stream content make, content Make, accessible stream content, stream content, site be offer, offer quality service, Accessible streaming, Web site, stream, Make, offer quality, stream medium accessible, Web, content, Accessible
extinction cross section, t - matrix method, Pruppacher and Pitter, cross section, shape by Pruppacher, Extinction cross, realistic raindrop, nonlinear fitting technique, establish use t - matrix, data - bank establish, number of total, fail under gravity, computer program, program be develop, develop base
phy . rev . lett, phy . rev ., rev . lett, recent experiment, high - order squeeze, phy ., Lett, rev ., high - order, squeeze, Phase control, field, system, phase - dependent photon statistic, experiment
multiprocessor system, class of multiprocessor, conventionally characterize, article describe, describe the implementation, implementation of method, method for numerical, numerical solution, solution of gas - dynamic, gas - dynamic problem, wide class, system, computation of jet, multiprocessor, standard data - transfer interface
virtual reality - base interaction, reality - base interaction metaphor, volume datum, virtual reality - base, reality - base interaction, interaction metaphor, metaphor for semi - automatic, volume segmentation, semi - automatic segmentation, volume, interactive segmentation, segmentation, paradigm for interactive, segmentation of medical, medical
parabolic equation, inverse problem, hierarchical structure, inverse, problem, hierarchical, structure, equation, model, identification, coefficient, parabolic, heat - conduction theory, apply to describe, describe the functioning
three - dimensional numerical simulation, boundary element method, boundary element design, element design sensitivity, injection mould base, three - dimensional optimum design, design sensitivity analysis, cool line, boundary element, cavity temperature distribution, injection moulding, boundary integral sensitivity, optimum design, injection mould, element method
tablet pc produce, microsoft corp ., tablet pc, put pen, general specification, handheld computer, pen to screen, ring with today, today laptop, Tablet, pc produce, corp ., handwritten text, operating system, handle handwritten text
cellular automaton model, bionic - inspire cellular automaton, introduce cellular automaton, recently introduce cellular, cellular automaton, pedestrian dynamic, automaton model, evacuation process, bionic - inspire cellular, present simulation, introduce cellular, recently introduce, dynamic we present, process, automaton
linear discrete system, multidimensional stability domain, linear discrete, polynomial of linear, domain of linear, discrete system, set of stable, stable polynomial, geometry The multidimensional, multidimensional stability, stability domain, system be study, linear, system, discrete
sound pressure inside, open window, traffic noise, theoretically calculate, sound pressure, pressure inside, traffic noise transmission, rectangular room, traffic noise transmit, room, noise, empty rectangular room, traffic noise prediction, open, window
intuitionistic modal logic, intuitionistic modal, classical modal case, modal logic, beth property, modal, Beth property, Beth, modal case, intuitionistic, case, property, classical modal, classical case, interpolation property
wave energy power, energy power conversion, Wave Energy Research, Energy Research Team, wave energy, impulse turbine blade, fuse decomposition modelling, impulse turbine, energy power, power conversion, Energy Research, rapid prototyping, fuse decomposition, turbine blade, Research Team
twist copper pair, deliver desire service, capture niche market, last - mile access, twist copper, option to gain, deliver desire, copper pair, gain access, capture niche, niche application, access and deliver, copper, access, desire service
ballot box, vote, United States, States and Canada, voting system, system, box, automatic teller machine, Election, election accelerate exist, election official, ballot, voting issue, Internet, ATM
problem sufficient condition, control problem Sufficient, time - optimal control problem, nonlinear time - optimal control, smooth nonlinear control, problem Sufficient, sufficient condition, nonlinear control system, time - optimal control, control problem, fix end, nonlinear time - optimal, smooth nonlinear, optimal control, optimal control switch
Nuclear magnetic resonance, magnetic resonance molecular, resonance molecular photography, magnetic resonance spectra, Nuclear magnetic, magnetic resonance, resonance molecular, molecular photography, store a two - dimensional, photography A procedure, retrieve the store, molecular system, spin state, stack of nuclear, resonance spectra
competitiveness professional service, firm competitiveness Professional, professional service firm, competitiveness Professional, professional service, market condition, law firm competitiveness, key enabler, thrive in virtually, virtually any market, firm competitiveness, service firm, Professional, law firm, basic operating model
single - species asexual bit - string, asexual bit - string model, population ' penna model, Verhulst factor, cellular automata model, Penna model, improve model base, single - species asexual, biological ageing, asexual bit - string, population ' cellular automata, automata model, restrain effect, population ' penna, bit - string model
NHS IT programme, simple mind, health care, thing do properly, short - term strategy, NHS, Simple, mind, health, properly, programme, deliver this time, care, thing, short - term
Adobe GoLive, contender for Web, web author, Central hub, author and publish, Adobe, strong contender, design asset, flexible GUI environment, gui environment combine, lead design tool, GoLive, Web, flexible GUI, GUI environment
high - end computing market, USA This paper, high - end computing, compute market, high - end market, paper focus, technological change, market, high - end, compute, USA, combine historical analysis, personal computer market, product innovation, analysis
exact controllability result, improvement of ingham, type theorem, fouri method, Exact controllability, shell in minimal, minimal time, time We prove, result for thin, thin cup, method and recent, recent improvement, controllability result, Ingham, controllability of shell
underlie computer hardware, computational electromagnetic code, electromagnetic code impose, computational electromagnetic, computer hardware, computer architecture, underlie computer, architecture The algorithmic, electromagnetic code, limit for computational, code impose, operation count, algorithmic complexity, CEM, impose by computer
Lung metastasis detection, metastasis detection, Lung metastasis, compute tomography, knowledge - base top - down approach, metastasis, knowledge - base method, method, image, knowledge - base top - down, Oncology Department, knowledge - base, detection, Lung, image interpretation
World Wide Web, World Wide, javascript - base experiment generator, Wide Web, visualize experimental design, javascript - base experiment, Web experimental design, Web, generate and visualize, generator and teaching, WEXTOR, experimental design, visualize experimental, web - base tool, experimental
finite Galois field, Galois field modulo, sparse linear system, random linear equation, finite Galois, Galois field, finite field, sparse linear, linear system, computational complexity, random linear, linear equation, field modulo, study the computational, large set
study the determination, call quasi - linear, learn weight, determination of weight, weight, quasi - weight, weight for weight, weight for quasi - weight, case, learn, learn of weight, simple case, general case, study, determination
High performance liquid, relationship high performance, performance liquid chromatography, analyze reaction product, structure - property relationship high, ultraviolet spectral absorbance, High performance, relationship high, ultraviolet spectral, liquid chromatography, spectrophotometric detection, quantitative structure - property relationship, performance liquid, common method, method for analyze
Variable structure intelligent, structure intelligent control, variable structure control, discrete time system, time system base, Variable structure, intelligent control, structure intelligent, structure control, servo motor drive, discrete time, time system, system base, control, drive The variable
fulfillment system report, publication software package, fulfillment system supplier, in - house fulfillment system, lead publication software, system supplier bring, in - house fulfillment, annual survey, software package, system report, fulfillment system, supplier bring, current capability, lead publication, publication software
animat endow, intelligent behavior, biological, endow an autonomous, biological model, model, endow, behavior, behavior be difficult, general framework, framework, general framework paradigm, computational model, autonomous behavior, autonomous system
personal digital assistant, runtime reconfigurable bus, mobile personal digital, PDA chip, embed dram macros, embed dram, render engine, runtime reconfigurable, low - power three - dimensional, digital assistant, six - megabit embed dram, DRAM macros, reconfigurable bus, PDA, implement as part
discount utility model, discount utility, describe intertemporal preference, discount model describe, hyperbolic discount model, intertemporal preference, private intertemporal preference, social intertemporal preference, health Whilst, hyperbolic discounting, model describe intertemporal, discount model, substantial evidence, monetary outcome, limited evidence
orthoscopic real image, two - step integral imaging, improve view resolution, integral imaging system, orthoscopic three - dimensional imaging, two - step integral, integral imaging, system to obtain, real image, improve view, view resolution, resolution We present, orthoscopic three - dimensional, orthoscopic real, integral
complex cross section, cross section Numerical, section Numerical conformal, Numerical conformal mapping, conformal - mapping design tool, complex cross, cross section, section Numerical, Numerical conformal, design tool, conformal - mapping design, efficient tool, symmetrical coaxial coupler, conformal mapping, mapping be exploit
psychology ePsych, Web site, intend to teach, ePsych, discipline of psychology, active development, psychology, Web, teach student, incorporate sufficient depth, include java - base experiment, site presume, element include java - base, site, java - base experiment
society orient signature, identity - base society orient, society orient scheme, society orient, orient signature scheme, anonymous signer, orient signature, signature scheme, identity - base society, orient scheme, scheme, society, orient, signature, identity - base
Universal dynamic synchronous, desire nonreactive behaviour, synchronous self - stabilize protocol, Universal dynamic, distribute system, system to stabilize, desire nonreactive, dynamic synchronous self - stabilization, Universal, protocol, synchronous self - stabilize, self - stabilize protocol, behaviour exist, nonreactive behaviour, dynamic synchronous
boolean function, decomposition of Boolean, Boolean, decomposition, approach, Upr, method, repeat decomposition, function, Boolean, function that depend, decomposition of Boolean, function, repeat, Sist, decomposition clone, method of q - partition
Yang and Cohen, recently by Yang, affine invariant, object recognition, propose recently, algebraically dependent, convex polygon, image registration, registration and object, July, Cohen, Affine, Yang, invariant, correspondence
dubious quality, online advice, online, advice, Internet, worthwhile information online, people, information online, Trust in online, find worthwhile information, quality, influence people response, information, find, influence
executable code, jpeg file, JPEG, file, affect jpeg file, jpeg image file, virus, affect JPEG image, alter jpeg file, affect JPEG, affect jpeg, JPEG image, alter jpeg, ado, executable
bound rationality, author refer, comment make, Hanoch, emotion and bound, Hanoch comment, bound, rationality, reply to Hanoch, reply, ibid, make by hanoch, author, hanoch criticism, emotion
mix - norm image restoration, regularize least - mean mix - norm, regularize mixed - norm image, iterative regularize least - mean, least - mean mix - norm image, image restoration algorithm, image restoration, regularize least - mean, regularize mix - norm, mix - norm image, least - mean mix - norm, smooth functional, restoration algorithm, lmf functional, restoration We develop
electromagnetic source analysis, vef in electromagnetic, electromagnetic source, Model selection, model selection procedure, source analysis, magnetoencephalogram adequately, application to vef, describe the electroencephalogram, electroencephalogram or magnetoencephalogram, adjust hotelling test, electromagnetic, analysis, Bayes information criterion, source
World Wide Web, World Wide, proliferation of World, Wide Web, Web site design, implication of document - level, million of people, document - level literacy skill, design The proliferation, low cost, cost of publish, tremendous amount, fingertip of million, Web, publish information
four - way set - associative two - level, set - associative two - level cmos, two - level cmos cache, vlsi system application, low - voltage low - power vlsi, low - power vlsi system, CMOS cache memory, shrink logic swing, SLS memory cell, datum sense amplifier, SBL tag sense, bitline - orient tag - compare, four - way set - associative, two - stage wordline, two - level cmos
neural network practitioner, QSAR and QSPR, structure - property correlation, neural network ensemble, grow popularity, widely adopt, adopt in structure - activity, structure - activity and structure - property, neural network, network practitioner, ensemble method, neural, QSAR, QSPR, generalization performance
include financially important, financially important performance, include organisational structure, include financially, body of literature, relate the concept, range of consequence, staff turnover, emotional attachment, financially important, productivity and staff, important performance factor, include organisational, knowledge - base structure, substantial body
National Electronic Site, Site Licensing Initiative, electronic site license, National Electronic, Licensing Initiative, Electronic Site, Site Licensing, negotiate license agreement, electronic journal, NESLI, academic library, information system committee, Electronic, Initiative, model license agreement
analyze the benefit, conveyor - base amhs, form and performance, compare conveyor - base continuous, conveyor - base continuous flow, AMHS, automation, continuous flow transport, flow transport technology, conventional car - base wafer - lot, car - base wafer - lot delivery, detail delivery time, analyze, debate, question
identity deception, deception, identity, community, reveal identity deception, reaction, virtual community case, community case, case, case, Nowheremom actual identity, Internet, Nowheremom, explanation, uncommon
solids Science, quantum computer, compute with solid, Quantum computing, Science and technology, solid - state device, Science, revolutionize by quantum, Quantum, computer, easy, technology, device, practical device, compute
architecture Information interaction, Information interaction, information architecture, provide a framework, Information, information architecture Information, process that people, architecture, interaction, information architecture perform, information interactivity, information system, content, architecture Information, system
lock be study, safe problem, problem, safe, Solution, matrix, study, matrice a safe, residue class, lock, system of linear, linear equation, safe insuring, modulo, residue
nonparameterize object contour, track nonparameterize object, video We propose, contour, video, track nonparameterize, nonparameterize object, contour tracking, edge map, contour detection, invert distance transform, object contour, edge indicator function, contour in video, track in video
Information architecture, information system world, Information, information architect, architecture in JASIST, information system, architecture, JASIST, summit, ACM SIGCHI conference, annual ACM SIGCHI, emergence of Information, architecture of information, point to Wurman, ACM SIGCHI
machine availability constraint, availability constraint, identical machine, machine availability, minimize makespan, identical, availability, Optimal online algorithm, constraint, constraint this paper, constraint for minimize, online scheduling, machine, machine, online
Solomon and Weisbuch, mass medium, quality expectation, people buy, buy a product, mass medium shift, Social percolation, quality, marketing model, model of Solomon, Weisbuch, quality be high, mass, Solomon, introduce additional information
purdue university librarie, university librarie interlibrary, librarie interlibrary loan, Interlibrary Loan unit, Purdue University, university librarie, librarie interlibrary, loan unit propose, purchase patron ' loan, patron ' loan request, acquisition the purdue, request from amazon, book on demand, Interlibrary Loan, unit propose
represent a sample, analyze multiple correlation, conformation we describe, multiple correlation, molecular conformation, analyze multiple, coordinate, conformational space, molecular coordinate, application for molecular, analyze, subset of coordinate, conformational, method, application
deformable space vehicle, elastic structural vibration, fuzzy logic adaptation, logic adaptation circuit, fuzzy - logic adaptation algorithm, deformable space, space vehicle, fuzzy logic, design a fuzzy - logic, algorithm be design, design for adjust, adjust the discreteness, discreteness period, ensure the stability, stability and quality
ipeds survey respondent, academic library hour, IPEDS survey, survey respondent, effort toward establish, national standard, academic library, service hour decision, operation and service, hour of operation, affect service hour, article survey, Association for Research, arl librarie, academic library
European Patent Office, European, European Commission, European Patent, Directive, harmonise national patent, national patent law, Patent Office, draft Directive, european national court, patent law relate, European legislation, Finally, Commission, European national
activation time image, myocardial activation time, activation time map, Noninvasive myocardial activation, activation time, minimum - norm least - square algorithm, time image, myocardial activation, time map, Noninvasive myocardial, heart from electrocardiographic, ecg mapping datum, datum linear approach, minimum - norm least - square, inverse algorithm apply
present experimental evidence, machine frictional boundary, fractal present experimental, challenge conventional assumption, frictional boundary condition, non - euclidean contact geometry, present experimental, re - examine the machining, machine frictional, fractal present, aluminium alloy, conventional assumption, frictional boundary, boundary condition, experimental evidence
password restriction enter, user name - password combination, improve computer security, restriction enter, improve computer, computer system, proactive password restriction, restriction, proactive password, name - password combination, widely use procedure, procedure for identification, enter a user, additional restriction, enter
electromagnetic vector sensor, electromagnetic vector, vector sensor, multiple broadband source, track uncorrelated source, adaptively separate, multiple broadband, source, Separation and tracking, enhance and track, EMVS, vector, track uncorrelated, electromagnetic, sensor
secret sharing scheme, homogeneous access structure, optimal information rate, average information rate, optimal average information, information rate, secret sharing, share scheme, scheme with homogeneous, homogeneous access, access structure, rate of secret, optimal information, average information, low bound
generalize pert, traditional PERT, CPM algorithm, CPM implementation, paper describe, algorithm for find, find the critical, critical path, project network, PERT, CPM, describe the implementation, deliver management science, implementation, spreadsheet
principal component analysis, principal component, component analysis Principal, analysis Principal component, subspace identification approach, subspace identification, component analysis, monitor complex industrial, complex industrial process, sensor fault, monitor complex, process with multiple, identification, subspace, PCA
color filter array, commercial digital camera, specific pattern, Color plane interpolation, alternate projection, projection most commercial, filter array, sample red, plane interpolation, commercial digital, Color plane, Color, digital camera pipeline, color filter, blue color
approach fall short, standard approach fall, site development, fall short, integral investment, investment in site, time to recognize, standard approach, approach fall, usability testing, development, short, usability, bring usability testing, usability testing in - house
information architecture, system, highly usable system, law enforcement, law enforcement agency, rm, quickly recover, recover from mistake, highly usable, information, architecture, CopNet, navigation, interface, old system
Flip analysis Flip, solitaire board game, board game produce, craft woodworker, solitaire board, produce by craft, Flip analysis, analysis Flip, dynamic programming, Flip, board game, game produce, programming, analyze Flip, game
study digital control, sample pattern, special case, generalize predictive control, study digital, non - uniform update, update and sample, include multirate sample - data, generalize predictive, non - uniformly sample system, digital control system, multirate sample - datum system, non - uniformly sample, predictive control, include multirate
Java secure sandbox, sandbox programming model, sun pride, Java secure, speed, language incorporate c - like, incorporate c - like concept, c - like concept, secure sandbox programming, programming model, loose approach, Microsoft, incorporate c - like, Sun, Java
power industry, electrical power, key performer, grow pressure, pressure to reduce, reduce the cost, cost of electrical, recent year, year have result, knowledge management - capture, power, industry the grow, knowledge management, computer - base programme call, power in recent
image watermarking, framework for evaluate, hiding be present, data - hiding capacity, datum hide, information - theoretic model, datum hider, image, compute data - hiding capacity, capacity, fundamental capacity limit, datum, watermarke, image source, previous theoretical result
linear quadratic Gaussian, LQG benchmark, quadratic Gaussian, LQG, lqg benchmark obtain, close loop condition, Controller performance, optimal LQG performance, LQG tradeoff curve, close loop, obtain a linear, linear quadratic, LQG performance framework, input and output, LQG performance
press shop Globalization, Press shop, shop Globalization, Press, solution, shop, shop, Industrial, integrate solution, manufacture efficiency, competitive advantage belong, Industrial IT architecture, ABB automation, world market, market be challenge
agent ' goal function, weight goal function, appropriately weight goal, base on criterion, criterion and motivation, goal function, active system base, inter - agent transfer, agent ' goal, weight goal, active system, principal varie, vary the agent ', appropriately weight, paper formulate
fuzzy event detection, control design base, Supervisory control design, base on hybrid, hybrid system, hybrid system theory, Supervisory control, supervisory control scheme, fuzzy event, design base, event detection, fuzzy event detector, control scheme base, control design, fuzzy
system librarianship describe, small academic library, describe the role, librarianship describe, small academic, system librarian, academic library, describe, service side, library, make library accessibility, system, internet be make, system librarianship, side of system
Data Protection Act, mirror group newspaper, Naomi Campbell successfully, sue mirror group, datum protection, Protection Act, campbell successfully sue, Naomi Campbell, successfully sue mirror, Mirror Group, group newspaper, Campbell successfully, sue mirror, newspaper for damage, successfully sue
reconfigurable context - sensitive middleware, spontaneous information exchange, hoc communication support, compute context - sensitive application, reconfigurable context - sensitive, pervasive compute context - sensitive, context - sensitive pervasive computing, datum from sensor, user action, information exchange, context - sensitive middleware, context - sensitive middleware facilitate, pervasive computing software, application need datum, hoc communication
long - live atomic spin, atomic spin state, ground state spin, record quantum property, atomic spin, long - live atomic, spin state, state spin, ground state, light, quantum property, quantum memory, property of light, record quantum, spin
accommodate unseen symbol, simple associationist neural, factor abstract rule, unseen symbol set, associationist neural network, arbitrary input symbol, neural network learn, symbol set, neural network, invent abstract representation, accommodate unseen, unseen symbol, simple associationist, sequence of arbitrary, network learn
flexible manufacturing system, flexible manufacturing, alternative route possibility, intelligent fuzzy decision, fuzzy decision support, fuzzy decision, manufacture system, decision support system, intelligent fuzzy, paper describe, alternative route, route possibility, fuzzy decision system, system, multiple decision point
repeat ordinal outcome, fit mixed - effect model, repeat ordinal, repeat measure analysis, psychological study, ordinal outcome arise, mixed - effect model, nlmixe procedure, ordinal outcome, repeat, fit mixed - effect, analysis of repeat, outcome arise, mix - effect, analysis
plot ambiguity function, MATLAB code capable, plot ambiguity, ambiguity function, MATLAB code, signal be present, code capable, MATLAB, ambiguity, MATLAB sparse matrix, code, plot, function, capable of plot, MATLAB sparse
systemological analysis coordinate, analysis coordinate, object - orient systemological method, procedure of object - orient, coordinate, procedure, Vestn, UFO analysis algorithm, UFO analysis, method, systemological, object - orient, design, object - orient design, object - orient systemological
texture segmentation, local geometric moment, geometric moment local, attract attention, edge detection, detection and texture, local geometric, local, local moment, local feature, inherently integral - base feature, moment, geometric moment, computation of local, moment local moment
remote management, remote staff, computer - mediate communication, intranet and e - mail, remote, staff, integration or isolation, computer - mediate, management, integration, rapidly within organization, intranet, e - mail, increase rapidly, discuss
reduce observer, system embed, system embed technology, multivariable linear system, desire matrix transfer, matrix transfer function, control system - be consider, plant state separately, Control, linear system, reduce, observer, System, matrix equation define, desire matrix
late software application, enterprise application integration, past few year, numerous organisation, business forward, introduction to enterprise, organisation have invest, late software, drive their business, enterprise application, software application, application integration, EAI, application to drive, Justin Opie
monocular color traffic, traffic image sequence, move cast shadow, color traffic image, accurate scene analysis, cast shadow, move cast, effective move cast, color traffic, traffic image, monocular color, cast shadow detection, image sequence, scene analysis, generally require
show stay power, nuvox show stay, today telecom market, nuvox communication position, show stay, stay power, today telecom, nuvox show, raise cash, telecom market, nuvox communication, cash in today, NuVox, cash, market
fractional frequency distribution, dual lotka law, lotka law fractional, fractional frequency, frequency distribution, lotka law, simple lotka law, law fractional frequency, duality revisit, dual Lotka, frequency distribution base, number of paper, Lotka law, Lotka, theoretical fractional frequency
run - length encode string, run - length encode, encode string, encode length, Edit distance, encode, run - length, string, Edit, distance, length, distance of run - length, time algorithm, present a simple, algorithm that compute
fast user switch, user switch, fast user, user switch feature, multiple user account, user, window, switch, support the concept, user account, fast, family of operate, operating system, multiple user, Windows XP fast
James Ford Bell, Ford Bell Library, special collection material, article present basic, note special collection, present basic acquisition, basic acquisition philosophy, James Ford, Ford Bell, Bell Library, Library This article, collection material, article present, present basic, philosophy and approach
short baseline binocular, fourier - base solution, baseline binocular image, figure - ground segmentation, short baseline, binocular image pair, binocular image, baseline binocular, fouri transform, problem of figure - ground, Binocular, figure - ground, fourier - base, inverse fouri transform, Fourier
high - resolution ecg analysis, ECG analysis, compression of electrocardiogram, signal record, time be consider, single patient, long period, period of time, ECG, late potential analysis, high - resolution ecg, analysis, ecg cycle, ieee trans . automat, method
class of linear, linear time - vary system, robust state feedback, linear time - vary, adaptive robust state, adaptive robust stabilization, state feedback, state feedback control, adaptive robust, disturbance and nonlinear, class, robust state, nonlinear uncertainty, linear system, linear
generalize confidence set, statistically indeterminate random, indeterminate random vector, Generalized confidence, confidence set, random vector, confidence, statistically indeterminate, indeterminate random, information on distribution, generalize, set, random, distribute random vector, vector
