gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, quantum lattice gas, solve fluid dynamic, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, information processor communicate, lattice gas, communicate via classical, classical channel, fluid dynamic
professional monochrome CCD, Multispectral color image, crystal tunable filter, liquid crystal tunable, monochrome CCD camera, tunable filter, color image capture, image acquisition system, monochrome CCD, color image acquisition, acquisition system consist, color image, image capture, crystal tunable, CCD camera
hypertensive blood flow, blood flow, spontaneously hypertensive rat, renal blood flow, normotensive and hypertensive, hypertensive, spontaneous oscillation obtain, Renyi entropy, normotensive, time - vary property, blood, renal autoregulatory mechanism, broad - band force arterial, myogenic and TGF, order to assess
small academic library, special collection department, special collection, decision, small academic, tale of special, case study, acquire and develop, collection, library A case, special, small, library, academic, academic environment
semiconductor wafer production, polycrystalline silicon nugget, fragile fuse silica, highly irregular, fuse silica crucible, highly irregular shape, semiconductor wafer, highly irregular polycrystalline, melt pull, irregular polycrystalline silicon, wafer production, basic technology, irregular shaped object, silicon nugget, fragile fuse
wave to crest, nauseam for year, hype ad nauseam, wavelength service, service, wavelength, quick turn - up time, wait, crest, year, industry expectation, impressive margin, wave, hype, nauseam
random duplicate assignment, technique random duplicate, random duplicate, duplicate assignment storage, storage technique Random, randomly choose disk, assignment storage technique, technique Random, video server, random, server with random, store by assign, datum block, RDA, number of copy
digital democracy, Relevance of Web, internet search system, ghost consensus method, web document, Internet search, ghost consensus, Internet, improve the quality, digital, internet query statistic, democracy, search system, Internet query, Web
low - memory spiht image, DSP chip, spiht image code, set partition, hierarchical tree, simplicity and efficiency, SPIHT algorithm, partition in hierarchical, SPIHT, SPIHT image, image code algorithm, DSP, Pearlman, algorithm base, original SPIHT algorithm
bayesian inference technique, inference technique problem, construct fuzzy bayesian, fuzzy Bayesian inference, mathematical fundamental, datum be present, inference technique, fundamental of construct, approach to decision - making, fuzzy Bayesian, Bayesian approach, fuzzy Bayesian method, technique problem, construct fuzzy, case of fuzzy
Strong active solution, dynamic game problem, non - cooperative game, Strong active, reject a proposal, equilibrium be propose, equilibrium be establish, active solution, accept or reject, notion of equilibrium, basic equilibrium, static and dynamic, dynamic game, game problem, problem be demonstrate
internet transform collective, Collective action, transform collective action, action, mobilization This article, article examine, Collective, Internet, internet transform, Web bear witness, mass communication, thrive collective action, collective action range, online mobilization, Web
system risk company, company be increasingly, manage system risk, commercial security standard, increasingly require, require to provide, provide assurance, secure and conform, risk company, security standard, management service practitioner, company, system be secure, security, senior business manager
optimal routing policy, optimal routing, route policy, route, policy, optimal, select a specific, number of acceptable, specific output channel, acceptable output channel, torus, specific output, acceptable output, output channel, message
public library, Internet, current consumer market, public, library, internet service, Random Digit Dialing, critical importance, issue of critical, public demand, library and Internet, American adult market, current consumer, market, market segment
bound time interval, time interval Consideration, linear dynamic system, bound time, time interval, linear system, spectral characteristic, linear dynamic, dynamic system, bound, standard dynamic block, linear, system, transcendental characteristic equation, time
psychological process underlie, process underlie computer - support, natural computer - mediate context, social psychological process, underlie computer - support group, asynchronous computer - mediate group, computer - mediate group interaction, process underlie, effect of asynchronous, article report, report a study, study undertake, undertake to investigate, computer - support group discussion, computer - mediate
urban Internet, park and street, disparate web site, Internet, parallel between design, Web site, design a web, design, internet evolve, information architect, Web, disparate Web, design networked environment, Internet The parallel, network electronic environment
redundant wavelet transform, image multiresolution decomposition, paper propose, image, edge, wavelet transform, Adaptive image denoising, redundant wavelet, Adaptive image, image denoising, image multiresolution, wavelet, denoise, preserve edge, Adaptive
general accelerated simulation, accelerate simulation method, steady - state availability, availability of non - markovian, non - markovian system, simulation method, general accelerate, method for evaluation, availability, steady - state, non - markovian, simulation, accelerate, system, system be propose
information technology draw, information processing perspective, technology draw, information processing, processing perspective, continue influence, paper examine, information, World War, organization task environment, organizational structure, influence of information, examine how information, technology, draw
acceptance of publisher, australian university librarian, consortial purchasing agent, Council of Australian, australian library, organisation in australia, university librarian, Australian University, purchase agent, sharing of information, role of CAUL, purpose of cooperative, cooperative action, member and associate, associate organisation
visually explore structural, molecular equivalence number, distinguish chemical library, visually explore, cyclic system, Drug Data Report, mdl drug datum, explore structural feature, chemical library, number to visually, distinguish chemical, equivalence number, classify a molecule, molecular, set of functional
angle of incidence, fast time modulation, nonresonant parametric microstructure, mechanical model, microstructure use simple, simple acoustical, acoustical and mechanical, conceptual possibility, possibility of design, small - scale stratification, stratification and fast, fast time, modulation of parameter, long wave, nonresonant parametric
motion vector field, compute precise estimate, estimation use modify, compute precise, vector field, field of move, move object, modify dynamic programming, modify dynamic, dynamic programming, Motion estimation, motion vector, precise estimate, dynamic, optimization problem
artificial neural network, feedforward backpropagation artificial, backpropagation artificial neural, artificial neural, neural network, inspiration and expiration, ANN, intend to automate, independent artificial neural, automate the analysis, inspiration, long - duration signal, human expert, respiratory datum acquire, human
culture be discuss, librarian A powerful, powerful encounter, important role, Underground poetry, collect poetry, poetry, Underground, literature, acquire underground poetry, acquisition difficulty encounter, unique publishing world, collect, discuss, librarian
in - class setting student, setting student, Internet, Personality research, take - home web - base instrument, increasingly comfortable, web - base datum, in - class web survey, collect datum, Web survey, take - home web survey, datum, web - base, student, web - base instrument
inductive logic programming, inductive logic, logic programming, ability to learn, prerequisite for perform, perform many relevant, relevant task, learn spatial relation, learn function - free horn - clause, function - free horn - clause description, learn spatial, logic, inductive, programming system, orientation
rotation and translation, translation and local, digital image provide, geometrical distortion, Geometrically invariant watermarking, paper present, geometrical, image provide robustness, distortion, watermarke, scheme, point, Geometrically invariant, digital image, image provide
enterprise The paperless, paperless office, idea whose time, pervasive computing application, San Francisco, Pervasive computing, McKesson Corporation, author speak recently, mobile infrastructure software, compute application, Pervasive, McKesson, compute, work, interface
Web performance monitoring, complete view, Web, Web infrastructure, Web performance, web site, monitor, view, complete, concentrate on detail, neglect the big, big picture, busy concentrate, complexity, complexity of Web
quality of service, service control scheme, service control, self - adjust quality, control scheme, quality, propose and analyze, goal of optimize, service, QoS, penalty requirement, scheme, priority client, client, control
carbonate fuel cell, molten carbonate fuel, fuel cell, MCFC stack, adaptive fuzzy control, MCFC, carbonate fuel, mcfc stack base, fuzzy control, improve availability, availability and performance, adaptive fuzzy, stack, cell, performance of fuel
read relevant literature, deliver a university, management faculty, design and deliver, involve trial, observe other instructor, read relevant, year of academic, trial and error, error experimentation, literature and observe, author have accumulate, preparation and delivery, academic experience, instructor in action
linear dynamical system, variational Bayesian algorithm, Bayesian nonstationary autoregressive, multivariate autoregressive model, nonstationary autoregressive model, variational Bayesian, biomedical signal analysis, dynamical system, describe a variational, time - vary coefficient, coefficient that adapt, linear dynamical, autoregressive model, Bayesian algorithm, Bayesian nonstationary
Horizontal waypoint guidance, apply line - follow guidance, waypoint guidance design, waypoint line segment, Horizontal waypoint, guidance design, line segment, waypoint line, guidance, waypoint, control A horizontal, Horizontal, optimal control, line, linear quadratic regulator
product development present, early design stage, present a prototype, innovative product development, system, prototype object - orient, object - orient and rule - base, design, product cost modelling, develop system, design stage, cost, early design, solid modelling system, present
datum visualization historically, datum, scatter plot, datum visualization, limit primarily, three - dimensional scatter plot, multidimensional datum visualization, Historically, datum desk, produce three - dimensional scatter, Visualization Toolkit, histogram or scatter, datum visualization application, scatter, plot
scalable quantum computing, quantum computing device, compute device suffer, solid - state quantum computing, quantum computing, severe engineering constraint, address solid - state proposal, scalable quantum, compute proposal, device suffer, severe engineering, solid - state quantum, solution to problem, solid - state proposal, Comprehensive encoding
music non - specialist librarian, music non - specialist, librarian be alert, alert to factor, factor important, scholarly edition, performance edition, successful acquisition, technical music vocabulary, music publish industry, music, edition and performance, non - specialist, acquisition, edition
genetic algorithm guide, algorithm guide selection, algorithm guide, guide selection, method, guide selection method, selection method, selection, GAS, variable selection, datum, guide, subset, QSPR model, datum set
business information limit, Reed Executive Plc, Reed Solutions Plc, Reed Business Information, Solutions Plc versus, justice pumfrey give, pumfrey give judgment, information limit, Reed Elsevier, Reed Business, totaljobs.com limit, trade mark infringement, Plc versus, pumfrey give, technique for web
linear discrete - time system, hide convexity, stationary linear discrete - time, finite - dimensional linear discrete - time, finite - dimensional stationary linear, conical control constraint, stationary linear, finite - dimensional linear, conical control, property of finite - dimensional, system under conical, hide, continuous - time system, convexity, constraint new property
Ohio State University, state university librarie, university librarie depository, Ohio State, high - density off - site book, librarie depository, off - site book storage, State, Ohio, University, librarie, depository The article, article describe, high - density remote storage, storage facility operate
Information architecture, design child portal, child web portal, Web portal, systematic manner, information architecture attribute, logical and systematic, Information, architecture, design child, Web, design the information, approach to design, tool for design, matrix approach
level - continuous fuzzy set, separable Banach space, real separable Banach, Banach space, real continuous function, continuous function define, minkowski embed theorem, fuzzy set, dual space, Banach, real separable, real continuous, show the existence, paper we present, present an extension
basic economic principle, dust jacket, factor influence, influence the fair, fair market, hypothesize to influence, book be identify, identify and link, link to basic, basic economic, edition, condition, factor, dust, jacket
operation research problem, nonlinear programming problem, research problem formulate, campaign of good, advertising campaign, good and service, plan an advertising, present by belenky, mathematical model, model and operation, operation research, nonlinear programming, linear constraint, research problem, programming problem
amid industry reflection, safeguard civil liberty, San Francisco, place in San, amid industry, civil liberty, focus at NetSec, strike between combat, combat cyber - terrorism, cyber - terrorism and safeguard, safeguard civil, Francisco, CSI event, NetSec, Enterprise in focus
quadratic minimized function, optimal control problem, computational finite - element scheme, minimized function, problem be consider, consider for distribute, equation with conjugate, quadratic minimized, conjugation condition, elliptic equation, distribute system, elliptic system, optimal control, computational discretization scheme, finite - element scheme
World Wide Web, Wide Web marketing, Wide Web, Web, web marketing application, hotel web site, industry relate web, web base marketing, hotel Web, web site, web base relationship, hotel industry, marketing, web base, relationship marketing
order base qsar, operationally simple method, partial order base, base qsar, electronic descriptor, end point, experimental order, model order resemble, model order, order base, predict power, attractive and operationally, simple method, select structural, Partial order theory
support decision make, general enterprise model, decision make, reluctant to invest, invest time, time and money, support decision, enterprise model, GEM, model, enterprise model framework, enterprise, modelling issue, current enterprise model, sme
same - an open community, share teach resource, library service today, digital library, ilumina instructional resource, distribute ilumina library, today and tomorrow, instructor in science, resource, create and share, share teach, article be base, same - an open, open community, community of instructor
Private Universitat fur, Universitat fur Medizinische, fur Medizinische Informatik, Technik Tirol, Informatik and Technik, discuss application area, Technology Tyrol, Universitat fur, fur Medizinische, global problem, important application area, global solution, application area, solution the objective, area of information
fuzzy modeling base, generalize conjunction operation, conjunction operation, parametric generalize conjunction, model base, Fuzzy modeling, generalized conjunction, conjunction, tune, operation, parametric generalize, base, parametric conjunction, model, parametric
examine time - inconsistent preference, biology - base model, examine time - inconsistent, model of choice, emotional choice system, emotional system assign, choice, Emotion, emotional choice, choice system, substrate of choice, self - control, biology - base, model, examine
mechanical beam - steering component, replace mechanical beam - steering, optical phase array, liquid - crystal optical phased, mirror and gimbal, beam - steering component, optical phase, phase array, highly desirable, desirable to replace, replace mechanical, broadband imagery steer, nonmechanical device, imaging application, broadband imagery
lossy nonuniform transmission, nonuniform transmission line, model lossy uniform, lossy nonuniform, differential quadrature, DQM, transmission line, paper discuss, discuss an efficient, numerical approximation technique, efficient numerical approximation, uniform and nonuniform, quadrature method, Telegrapher partial differential, modeling of lossy
Fast frequency acquisition, frequency acquisition phase - frequency, acquisition phase - frequency detector, phase - frequency detector, high operating frequency, Fast frequency, detector for gsample, design phase - frequency, phase - lock loop, loop this paper, paper describe, high operating, gsample, describe two technique, CMOS process exhibit
non - newtonian hele - shaw flow, body force, injection moulding, force and source, give a formal, formal derivation, hele - shaw flow, non - newtonian flow, nonlinear system arise, equation for injection, body, force, system arise, non - newtonian, equation
variant of forsyth, computational color constancy, color constancy, color constancy algorithm, computational color, synthesize datum, affect color constancy, color, algorithm, constancy, datum, Finlayson, method, comparison of computational, synthesized
Location of transport, heterogeneous territory, transport net, transport, heterogeneous, territory, Location, territory The location, network, study, point, territory be study, number of additional, net, number
expert to turn, stream content make, content Make, offer quality service, site be offer, accessible stream content, Web site, Make, stream, offer quality, Web, Accessible, content, stream medium accessible, user
extinction cross section, t - matrix method, Pruppacher and Pitter, cross section, shape by Pruppacher, realistic raindrop, Extinction cross, nonlinear fitting technique, establish use t - matrix, data - bank establish, number of total, fail under gravity, computer program, program be develop, develop base
phy . rev . lett, phy . rev ., rev . lett, recent experiment, phy ., Lett, rev ., high - order squeeze, field, Phase control, high - order, squeeze, system, phase - dependent photon statistic, experiment
multiprocessor system, class of multiprocessor, conventionally characterize, article describe, describe the implementation, implementation of method, method for numerical, numerical solution, solution of gas - dynamic, gas - dynamic problem, wide class, system, computation of jet, standard data - transfer interface, message pass interface
virtual reality - base interaction, reality - base interaction metaphor, volume datum, virtual reality - base, interaction metaphor, metaphor for semi - automatic, volume segmentation, semi - automatic segmentation, interactive segmentation, volume, segmentation, paradigm for interactive, interactive, datum, segmentation We present
parabolic equation, hierarchical structure, inverse problem, problem, inverse, hierarchical, structure, equation, model, identification, coefficient, parabolic, heat - conduction theory, apply to describe, describe the functioning
three - dimensional numerical simulation, boundary element method, element design sensitivity, injection mould base, three - dimensional optimum design, design sensitivity analysis, boundary element, cool line, cavity temperature distribution, injection moulding, stage of injection, element method, boundary integral sensitivity, optimum design, method be propose
tablet pc produce, microsoft corp ., put pen, general specification, handheld computer, tablet pc, pen to screen, ring with today, today laptop, Tablet, pc produce, corp ., small laptop, operating system, handwritten text
cellular automaton model, bionic - inspire cellular automaton, introduce cellular automaton, recently introduce cellular, pedestrian dynamic, automaton model, evacuation process, introduce cellular, present simulation, recently introduce, dynamic we present, process, cellular, automaton, dynamic
linear discrete system, multidimensional stability domain, polynomial of linear, domain of linear, linear discrete, discrete system, set of stable, stable polynomial, geometry The multidimensional, stability domain, system be study, linear, system, discrete, study
sound pressure inside, open window, traffic noise, theoretically calculate, sound pressure, traffic noise transmission, rectangular room, room, noise, open, window, coherence, high - rise building, empty rectangular room, active noise control
intuitionistic modal logic, classical modal case, beth property, modal logic, modal, Beth, modal case, case, property, intuitionistic, classical case, interpolation property, boolean case, logic, classical
wave energy power, energy power conversion, Wave Energy Research, Energy Research Team, wave energy, fuse decomposition modelling, impulse turbine blade, impulse turbine, power conversion, rapid prototyping, fuse decomposition, turbine blade, Research Team, University of Limerick, blade
twist copper pair, deliver desire service, last - mile access, capture niche market, option to gain, deliver desire, copper pair, gain access, capture niche, niche application, access and deliver, copper, access, desire service, high - speed internet signal
ballot box, vote, United States, States and Canada, voting system, box, system, automatic teller machine, Election, election accelerate exist, election official, ballot, Internet, ATM, official be examine
problem sufficient condition, control problem Sufficient, time - optimal control problem, nonlinear time - optimal control, smooth nonlinear control, problem Sufficient, nonlinear control system, smooth nonlinear, control problem, fix end, optimal control, optimal control switch, control, problem with fix, Sufficient
Nuclear magnetic resonance, magnetic resonance molecular, resonance molecular photography, magnetic resonance, Nuclear magnetic, resonance molecular, molecular photography, store a two - dimensional, photography A procedure, retrieve the store, molecular system, spin state, stack of nuclear, resonance spectra, nematic liquid crystal
competitiveness professional service, firm competitiveness Professional, professional service firm, market condition, key enabler, thrive in virtually, virtually any market, law firm competitiveness, Professional, service firm, basic operating model, law firm, law, firm, condition
single - species asexual bit - string, asexual bit - string model, population ' penna model, Verhulst factor, cellular automata model, Penna model, improve model base, single - species asexual, biological ageing, population ' cellular automata, restrain effect, bit - string model, danuta makowiec give, model, automata model
NHS IT programme, simple mind, health care, thing do properly, short - term strategy, NHS, Simple, mind, health, properly, programme, deliver this time, care, thing, short - term
Adobe GoLive, contender for Web, web author, Central hub, author and publish, strong contender, design asset, Adobe, flexible GUI environment, gui environment combine, lead design tool, Web, GoLive, flexible GUI, GUI environment
high - end computing market, USA This paper, compute market, paper focus, technological change, market, high - end market, high - end, compute, USA, combine historical analysis, personal computer market, analysis, product innovation, discussion combine historical
exact controllability result, improvement of ingham, type theorem, fouri method, shell in minimal, minimal time, time We prove, result for thin, thin cup, method and recent, recent improvement, Ingham, Fourier, controllability of shell, prove an exact
underlie computer hardware, computational electromagnetic code, electromagnetic code impose, computer hardware, computer architecture, underlie computer, architecture The algorithmic, code impose, operation count, limit for computational, CEM, impose by computer, algorithmic complexity, determine the complexity, computational
Lung metastasis detection, Lung metastasis, compute tomography, knowledge - base top - down approach, metastasis, knowledge - base method, image, method, detection on compute, Oncology Department, knowledge - base, detection, Lung, image interpretation, tomography
World Wide Web, javascript - base experiment generator, Wide Web, visualize experimental design, Web experimental design, Web, generate and visualize, generator and teaching, WEXTOR, web - base tool, web page, experimental, javascript - base, World, Wide
finite Galois field, Galois field modulo, sparse linear system, random linear equation, finite Galois, Galois field, finite field, field modulo, sparse linear, linear system, computational complexity, random linear, linear equation, study the computational, large set
study the determination, call quasi - linear, learn weight, determination of weight, weight for quasi - weight, weight, quasi - weight, case, learn, simple case, general case, study, determination, call, quasi - linear
High performance liquid, relationship high performance, performance liquid chromatography, analyze reaction product, structure - property relationship high, ultraviolet spectral absorbance, High performance, relationship high, ultraviolet spectral, liquid chromatography, spectrophotometric detection, common method, method for analyze, analyze reaction, reaction product
variable structure control, structure intelligent control, Variable structure intelligent, discrete time system, time system base, Variable structure, intelligent control, servo motor drive, structure control, discrete time, time system, control, synchronous servo motor, drive The variable, structure
publication software package, fulfillment system report, lead publication software, system supplier bring, in - house fulfillment system, software package, system report, annual survey, supplier bring, current capability, lead publication, system supplier, fulfillment system, publish, survey of in - house
animat endow, intelligent behavior, biological, endow an autonomous, model, biological model, endow, behavior, behavior be difficult, general framework, framework, general framework paradigm, computational model, autonomous behavior, autonomous system
personal digital assistant, mobile personal digital, runtime reconfigurable bus, PDA chip, embed dram macros, embed dram, low - power three - dimensional, digital assistant, PDA, reconfigurable bus, implement as part, mobile personal, personal digital, DRAM macros, six - megabit embed dram
discount utility model, hyperbolic discount model, discount model describe, describe intertemporal preference, health Whilst, model describe intertemporal, discount model, substantial evidence, monetary outcome, limited evidence, health outcome, preference for monetary, intertemporal, utility model, Whilst
orthoscopic real image, improve view resolution, two - step integral imaging, orthoscopic three - dimensional imaging, integral imaging system, real image, two - step integral, improve view, view resolution, resolution We present, system to obtain, integral imaging, orthoscopic real, three - dimensional imaging, image system
complex cross section, cross section Numerical, section Numerical conformal, Numerical conformal mapping, conformal - mapping design tool, complex cross, cross section, design tool, symmetrical coaxial coupler, efficient tool, coaxial coupler, conformal mapping, mapping be exploit, coaxial waveguide, public - domain matlab package
puzzle and problem, psychology ePsych, Web site, intend to teach, ePsych, discipline of psychology, active development, psychology, Web, teach student, incorporate sufficient depth, include java - base experiment, site presume, element include java - base, site
society orient signature, identity - base society orient, orient signature scheme, society orient, anonymous signer, signature scheme, orient scheme, scheme, orient, society, signature, identity - base, paper, base, guillou - quisquater
system to stabilize, Universal dynamic synchronous, desire nonreactive behaviour, synchronous self - stabilize protocol, Universal dynamic, distribute system, desire nonreactive, dynamic synchronous self - stabilization, Universal, protocol, behaviour exist, self - stabilize protocol, dynamic synchronous, protocol stabilize, previous proposal require
q - partitioning of minterm, boolean function, decomposition of Boolean, Boolean, decomposition, approach, Upr, method of q - partition, method, function, repeat decomposition, Boolean, function that depend, repeat, Sist, mash .
Yang and Cohen, recently by Yang, affine invariant, object recognition, propose recently, algebraically dependent, convex polygon, image registration, registration and object, July, Cohen, Affine, Yang, invariant, correspondence
dubious quality, online advice, advice, online, Internet, people, worthwhile information online, find worthwhile information, quality, information online, Trust in online, dubious, influence people response, information, find
executable code, jpeg file, JPEG, file, virus, affect jpeg file, jpeg image file, affect JPEG image, alter jpeg file, affect JPEG, JPEG image, ado, executable, code, impossible
bound rationality, author refer, comment make, Hanoch, emotion and bound, Hanoch comment, bound, reply to Hanoch, rationality, reply, ibid, make by hanoch, author, hanoch criticism, emotion
regularize least - mean mix - norm, mix - norm image restoration, regularize mixed - norm image, iterative regularize least - mean, least - mean mix - norm image, image restoration algorithm, regularize least - mean, image restoration, mix - norm image, smooth functional, iterative regularize, lmf functional, restoration We develop, develop a regularize, mix - norm functional
electromagnetic source analysis, vef in electromagnetic, Model selection, source analysis, model selection procedure, magnetoencephalogram adequately, application to vef, describe the electroencephalogram, electroencephalogram or magnetoencephalogram, adjust hotelling test, electromagnetic, analysis, source, Wald test, Bayes information criterion
fingertip of million, million of people, World Wide Web, proliferation of World, Wide Web, Web site design, implication of document - level, design The proliferation, low cost, cost of publish, tremendous amount, document - level literacy skill, Web, publish information, information
set - associative two - level cmos, four - way set - associative two - level, two - level cmos cache, vlsi system application, low - voltage low - power vlsi, low - power vlsi system, CMOS cache memory, shrink logic swing, bitline - orient tag - compare, SBL tag sense, datum sense amplifier, SLS memory cell, two - stage wordline, two - level cmos, CMOS cache
neural network practitioner, QSAR and QSPR, structure - property correlation, grow popularity, widely adopt, adopt in structure - activity, structure - activity and structure - property, neural network ensemble, neural network, ensemble method, neural, QSAR, generalization performance, popularity among neural, ensemble
include financially important, financially important performance, include financially, include organisational structure, body of literature, relate the concept, range of consequence, staff turnover, important performance factor, emotional attachment, financially important, productivity and staff, substantial body, include, organisation offer substantial
National Electronic Site, Site Licensing Initiative, electronic site license, Electronic Site, Site Licensing, create the national, negotiate license agreement, electronic journal, NESLI, academic library, information system committee, Initiative, Electronic, joint information system, increase and improve
analyze the benefit, conveyor - base amhs, form and performance, compare conveyor - base continuous, conveyor - base continuous flow, AMHS, automation, continuous flow transport, flow transport technology, conventional car - base wafer - lot, car - base wafer - lot delivery, detail delivery time, analyze, debate, question
identity deception, deception, identity, community, virtual community case, reaction, reveal identity deception, community case, case, Internet, Nowheremom, explanation, Nowheremom actual identity, uncommon, case of deception
solids Science, quantum computer, compute with solid, Science and technology, solid - state device, Science, revolutionize by quantum, Quantum, computer, easy, technology, device, practical device, compute, solid
architecture Information interaction, Information interaction, information architecture, provide a framework, Information, process that people, information architecture Information, interaction, architecture, information system, content, system, architecture Information, provide, framework for information
lock be study, safe problem, problem, safe, matrix, study, Solution, matrice a safe, lock, residue class, system of linear, linear equation, safe insuring, class, variant define
nonparameterize object contour, track nonparameterize object, video We propose, contour, video, track in video, contour in video, contour tracking, edge map, contour detection, invert distance transform, object contour, edge indicator function, track, edge
quick to point, point to Wurman, Information architecture, information system world, Information, architecture in JASIST, architecture, JASIST, summit, ACM SIGCHI conference, annual ACM SIGCHI, architecture of information, emergence of Information, ACM SIGCHI, support by asis
machine availability constraint, identical machine, machine availability, minimize makespan, Optimal online algorithm, identical, availability, online scheduling, constraint, constraint this paper, constraint for minimize, machine, online, online algorithm, Optimal online
Solomon and Weisbuch, quality expectation, mass medium, people buy, buy a product, mass medium shift, Social percolation, marketing model, model of Solomon, quality, Weisbuch, quality be high, Solomon, introduce additional information, mass
purdue university librarie, university librarie interlibrary, librarie interlibrary loan, Interlibrary Loan unit, Purdue University, loan unit propose, purchase patron ' loan, patron ' loan request, acquisition the purdue, request from amazon, book on demand, Loan unit, patron ' loan, loan request, propose a pilot
represent a sample, analyze multiple correlation, conformation we describe, molecular conformation, analyze multiple, coordinate, application for molecular, molecular coordinate, subset of coordinate, analyze, method, correlation, conformational, application, sample
deformable space vehicle, elastic structural vibration, fuzzy logic adaptation, logic adaptation circuit, fuzzy - logic adaptation algorithm, deformable space, space vehicle, fuzzy logic, design a fuzzy - logic, algorithm be design, design for adjust, adjust the discreteness, discreteness period, ensure the stability, stability and quality
ipeds survey respondent, academic library hour, IPEDS survey, operation and service, national standard, establish a standard, service hour decision, effort toward establish, affect service hour, arl librarie, article survey, Association for Research, hour of operation, library hour, compare hour
European Patent Office, European Commission, European, European Patent, Directive, national patent law, harmonise national patent, Patent Office, draft Directive, patent law relate, european national court, European legislation, Commission, Finally, important Directive
activation time image, myocardial activation time, Noninvasive myocardial activation, activation time, minimum - norm least - square algorithm, time image, time map, Noninvasive myocardial, heart from electrocardiographic, datum linear approach, ecg mapping datum, inverse algorithm apply, estimate the activation, ECG mapping, activation
present experimental evidence, machine frictional boundary, fractal present experimental, challenge conventional assumption, frictional boundary condition, non - euclidean contact geometry, present experimental, re - examine the machining, fractal present, machine frictional, aluminium alloy, conventional assumption, frictional boundary, boundary condition, experimental evidence
password restriction enter, user name - password combination, improve computer security, restriction enter, improve computer, computer system, restriction, proactive password restriction, widely use procedure, procedure for identification, proactive password, enter a user, additional restriction, enter, user name - password
electromagnetic vector sensor, vector sensor, multiple broadband source, track uncorrelated source, adaptively separate, multiple broadband, source, EMVS, Separation and tracking, enhance and track, electromagnetic, vector, sensor, broadband source, uncorrelated source
secret sharing scheme, homogeneous access structure, optimal information rate, optimal average information, information rate, secret sharing, share scheme, scheme with homogeneous, homogeneous access, access structure, rate of secret, optimal average, low bound, information, rate
generalize pert, traditional PERT, CPM algorithm, CPM implementation, paper describe, algorithm for find, find the critical, critical path, project network, PERT, CPM, describe the implementation, deliver management science, spreadsheet, spreadsheet environment
principal component analysis, principal component, subspace identification approach, monitor complex industrial, complex industrial process, component analysis Principal, analysis Principal component, component analysis, sensor fault, monitor complex, process with multiple, PCA, identification, subspace, EIV formulation
color filter array, specific pattern, commercial digital camera, alternate projection, projection most commercial, filter array, Color plane interpolation, sample red, commercial digital, Color, Color plane, color filter, blue color, demosaice, digital camera pipeline
approach fall short, standard approach fall, site development, fall short, integral investment, investment in site, time to recognize, approach fall, development, short, usability testing, usability, culture, agree, integral
information architecture, system, highly usable system, rm, law enforcement, quickly recover, recover from mistake, highly usable, law enforcement agency, navigation, CopNet, information, architecture, interface, easy navigation
Flip analysis Flip, solitaire board game, board game produce, craft woodworker, produce by craft, Flip, dynamic programming, board game, game produce, analyze Flip, game, programming, build, woodworker, dynamic
study digital control, sample pattern, special case, study digital, non - uniform update, update and sample, generalize predictive control, include multirate sample - data, non - uniformly sample system, digital control system, predictive control, include multirate, system, lift model, multirate sample - datum system
Java secure sandbox, sandbox programming model, sun pride, Java secure, speed, language incorporate c - like, incorporate c - like concept, c - like concept, secure sandbox programming, programming model, loose approach, Microsoft, incorporate c - like, Sun, Java
power industry, key performer, grow pressure, pressure to reduce, reduce the cost, cost of electrical, recent year, year have result, electrical power, knowledge management - capture, industry the grow, power, knowledge management, computer - base programme call, industry
framework for evaluate, hiding be present, image watermarking, data - hiding capacity, datum hide, image, information - theoretic model, capacity, fundamental capacity limit, datum, image source, watermarking and data - hiding, watermarke, previous theoretical result, data - hiding system
linear quadratic Gaussian, LQG benchmark, close loop condition, LQG, lqg benchmark obtain, Controller performance, optimal LQG performance, close loop, obtain a linear, linear quadratic, LQG tradeoff curve, LQG performance framework, input and output, benchmark, LQG performance
press shop Globalization, Press shop, Press, solution, shop, Industrial, integrate solution, manufacture efficiency, solution for press, competitive advantage belong, ABB automation, world market, market be challenge, challenge the traditional, traditional limit
appropriately weight goal, agent ' goal function, weight goal function, base on criterion, criterion and motivation, goal function, inter - agent transfer, active system base, principal varie, vary the agent ', paper formulate, formulate and solve, solve the problem, agent ' goal, weight goal
control design base, fuzzy event detection, base on hybrid, hybrid system, Supervisory control design, hybrid system theory, design base, fuzzy event, control scheme base, control design, fuzzy, control, Supervisory, event, detection
system librarianship describe, small academic library, describe the role, small academic, system librarian, side of system, describe, service side, library, make library accessibility, internet be make, system, librarian, make library, library building
Data Protection Act, mirror group newspaper, Naomi Campbell successfully, sue mirror group, campbell successfully sue, successfully sue mirror, Naomi Campbell, group newspaper, sue mirror, newspaper for damage, cause by breach, distress cause, Field Fisher Waterhouse, Protection, datum
spontaneous information exchange, reconfigurable context - sensitive middleware, hoc communication support, compute context - sensitive application, datum from sensor, user action, information exchange, context - sensitive middleware, pervasive compute context - sensitive, context - sensitive pervasive computing, context - sensitive middleware facilitate, application need datum, hoc communication, support to dynamically, dynamically discover
long - live atomic spin, atomic spin state, ground state spin, record quantum property, atomic spin, spin state, state spin, light, quantum property, quantum memory, state of light, record quantum, spin, property of light, gaussian state
