project lasted 1812 1918, presents, coder3 excel used, adopted study, total 1863536, frequency, information correlated paper, kh, important materials, books 19th 20th centuries, text mining english grammar, order systematically
feedback mechanism, multi modal, better performance traditional methods, consideration achieved limited, information graph paper, medical images manifold ranking, addition, dynamically constructed content specific, inherent latent structure, recall medir, based mr, uniformity
profiles paper throws, focuses, creation maintenance user, crux, available, mining current, clustering user information retrieval, data properly draw, world important, behavior different item sets, applying, indispensable technique called
military transportation domain ontology, transportation order improve efficiency, personalized user, services, researches domain, base basis, timely accurate, applied, improve, high, efficiency information retrieval, model construct
key insight structured, considered bluir does use, improving bug localization using, potential, ir toolkit use, number files key, scale systems address, similarity data, reports takes advantage, constructs class, matches, source projects approximately 400
exist domain related, original, number articles based given, train term, learning refine, seeks meet challenge, expansion room improvement achieve, terms biomedical information retrieval, select, method based mesh, vectors defining, features experimental results obtained
semi, efficiency improved using, compared people, use label, proposes, simplify undirected graph reduce, retrieval algorithm based textrank, precision response, information current information, problems slow speed low, manifold condition undirected, propagation
querying unknown, presents, sketch based image retrieval, using cluster, performance comparison existing spectral, paper volume, problem existing sbir, set observed tedious task, gains considered development proposed, distribution leads misclassification objective, majority, input free
outlines concrete, method mapping, sparql query examples implements, initially points, decreases, chinese semantic retrieval model, triples based, compared, tradition, platform dependency, question article, key technology
emotions search behaviors, associated certain types, emergent use, certain, versa investigated, used predict actions, systems, improve information, examination, turn lead development, expressions, vise
application using, paper algorithm implemented, machine learning today internet, real time vehicle tracking, opportunity understand, authorities, time location, head display, real, registration number, notify, rfid sensor
transformation, initial stage advanced techniques, results unsatisfactory attributed potential, diversity training introduced improve, framework named unirag, seamless integration visual tabular, approaches address mmqa represents, scores question, employed retrieve documents highest, models multimodal question answering, uniform prefix conditioning, including
query, food safety semantic retrieval, certain, method based concept, ontology establish, expansion study related, similarity computation design implement, model forward, recall ratio, superior, aspects, study related technologies information
optimizes hr information, saas cloud computing enhances, human, time approximately 24s, information trust, receiving endpoints respectively, effectiveness tested revealing retrieval, computing architecture, yields security, management module functions, degree introduced, 98 83 96
significantly fact exponentially, common multiple hand small, lower previously believed, separable mds, total, consider constructing capacity achieving, referred sub packetization level, recovered reading, private information retrieval codes, gcd means, matching converse, databases shown minimum
help identifying, synsets, length query implies, ir performance electronic, model result considering, rate collect, adding additional term user, like word mismatch adding, synonymous, information retrieval assamese extracting, vector, increasing huge
technology used process, word word, evaluated analyze compare performance, collections, central role, mean average, telugu, result shows, multilingual information retrieval mlir, 31 ir, precision map, effective
path length, sensitive load balanced, simulations efficiency terms, reliance geographic location boundary, based information storage, key extract line, large number, like skeleton reeb, developed devoted, focus 2d fields paper, schemes, retrieval 3d sensor networks
96 average, resnet50 manhattan distance, layers dl model providing, develops collaborative, using bilstm residual, areas like, processes text, evolution algorithm, using differential, retrieval images bi, accuracy gained increasing, long short term
allowed, technology monitoring, algoritms recent, organizations provide positive, authors allowed develop, main areas, practice field, users queries information, retrieval configured genetic algorithms, case dss decision, processing gives better, turn results obtained applied
measured using cosine, 88 29, meanings, gpt3 open, domain misinformation text main, individuals recanting statements retrieval, paper investigates crossroads large, average llama2 variant zero, mitigate, innovations pose, recanting model close original, interact internet real life
list user, provide good, 1033, pages available internet, hybrid usage based ranking, called ehura ehura, calculate relevancy, engines challenge best, structure content, representation realizing approximately, english, performance result shows
subsequently, augmenting original dataset, generate simulated, address commonly, experience field, strategy primarily involves analyzing, process expand query keywords, propose user, suboptimal, msr vtt validate effectiveness, truth, video retrieval user behavior
exponential distributions, continuous chunk, bijection generic families, demonstrate framework sample, space redefine, audio streams applications similarity, paper based, online, ball represents quasi, address methods dealing nonstationarity, allowing treatment, define information
model rank, applied structuring stored, frequencies, query results, diagram using, concept similarity formal concept, lattices constructed, intent occurrence, approximation, using novel, using attribute extent, enables
inverted index posting list, gives direction user, determine prediction item sequence, frequency, proposed approach, edu, fetched http, refinement mechanism, terms original, query grams performance proposed, using documents corresponding, time space required
analysing, topic detection tracking interface, news, design considered paper, handling vast information arriving, perform, suggested approach improve, tdt domain discuss named, interface finally present, representation user, entities, stream issues
scheme terms preserving, based services growing demand, quantum computing, deployments demonstrate remarkable performance, 128, level security order, retrieval proposes, emphasizing ability resist, achieving peer peer, streaming location privacy emerged, emerged critical concern today, sharing lwe based
technical briefing, processing software engineering, text retrieval natural language, used, field, language, state art, discusses applications, use text, techniques used, natural, presents state
set various documents, paper, approaches effective able, retrieved results semantic limited, specific domain, similar, introduced field information, index proposed algorithm differs, utilizes means clustering, provide, limited particular threshold, ontology based fuzzy classification
eliminates requirement, try, locate exact time desired, bypassing asr issues, spoken content retrieval cascading, challenging real world, contributions line, lattice format, signals inevitably lost, investigation includes major, relatively high adequate, concepts principles approaches
language saved sql database, functions domain, files type html, condition expanded, advantage potential field, pipe retrieval based ontology, realized, oilfield non metallic, order solve, designed compared traditional, jena secondly, performance low
single database setting past, rigorous proof underlying, especially single, know, 97 pir extensively studied, issue work proposes, time leads high, significantly significantly reduces communication, values, retrieval using homomorphic encryption, ostrovsky skeith, server
reconstruction problem sensor, sets infinite, model levenshtein, situation information unit, binary hamming space, 2012 associations memory entries, efficient methods given, provide, yaakobi bruck, network monitoring, limit mu maximum number, clues chosen reference
modeled markov chain, requests messages, proposed scheme problem, mechanism location, needed, end illustrate, retrieval multiple, needed prevent leakage incurred, replicated databases requests need, location privacy application correlation, problem intermittent, concatenates obfuscation
information retrieval, traditional, search, probabilistic information retrieval na, traditional probabilistic, retrieval na, retrieval, probabilistic information, na, information, search traditional probabilistic information, search traditional
experts conducting research, development software retrieve, unique, field present example, method digital, laser technology nanotechnology, prevent disease examples, using tag info method, sector bring benefits, bring, number patient data results, dicom ray images medical
proposing new, shows, relevant, hybrid measure, efficiency performance, similarity queries information retrieval, process information challenge, tests performed, standard corpus, models techniques embodied, statistic x2 method chir, cacm
fostering wider public, retrieval artwork images particularly, vse based cross, textual descriptions corresponding, data enabling, remains unexplored, boonart evaluated using, neural based, 97, particularly, capture entity, performance compared traditional
restricting set, experiments carried standard, integrate, creates final list dependencies, retrieval model based bayesian, relationships terms, networks proposed aim achieve, carried, irs usually increases, usually, proven, obtained locally form
cloud environment day, time smaller space, existence verification, generated asymmetric cyclical, false positive rate commonly, bloom filter generated, stored data illegal access, transmission memory cost, efficient image retrieval mobile, access simultaneously experimental results, second stage proposed, personal
paper compares, using ndcg, designs develops general higher, act standard example, unique attributes, evaluating algorithm default, neural network model application, weight direction weight, based analysis correlation relevance, archive retrieval modern guangdong, challenging manage, verifies
improve performance, set objects structure node, different analytics graphs constructed, symbols diffusion shortest path, ir activity obtaining, scenario state art, decades community, information retrieval multiwriter, usually, connecting edge paper, ranked according relevancy, weight
information retrieval model recent, recall ir, digital documents, theme concepts simulation shows, similarity matching algorithm ontology, precision flexibility compared traditional, extreme growth, model measure, brought light need novel, methods, compared, traditional semantic
tasks paper, adhoc, metric used measure, frequently occur, stop experiments, improve map, called, carry significant meaning called, mean average precision, information retrieval gujarati text, elimination information, meaning called stopwords identification
crawler today, matched given user, attractive tourist places, human readable, processed machine time enormous, lack, respectively analysis, coordinating keywords lack, proposed working, semantic information retrieval web, specific domain gathering domain, difficult access present maintain
standard format representing, improve best, inex showed, known, derive, requires development tools retrieve, campaign, augmented adoption, element experiments, rank xml information retrieval, function impact feature, multiple sources
ability access, online requesting information specific, sources, capture semantically rich, development commercial markets, domain numerous, remains nontrivial task, bio ontologies enhancing patent, property ip, filed recent years, different storage, describes computational framework
soa, making operational business, paper focuses, techniques based architecture accelerate, order validate concepts, retrieval clustering genetic algorithm, intelligent agents prototype, cost, shortens, time information, integrating, best treatment
called intelligent, engine icse proposed improvement, using means, pages order increase, computational time, developed traditional, user link, clustering documents information retrieval, threshold values assigning, play vital role, content title summary, boost factor given web
features text incompatible, space bridge transfer, different representations, effect, rationality conversion process correlation, model generate new, method based, tag lda topic model, improve retrieval efficiency, stag, introduce vector, fingerprint
statistical procedures, paper present broad picture, heterogeneous, retrieved using, large, traditional computing techniques, voluminous pool, better, basic aim, require advanced, big data using evolutionary, nature handled traditional
university birjand performed, performed basis digital, environment population, limitations expanding scope, laptop used tools storage, personal information management pim, content finally common, rate significant differences, year self assessment, method, explanatory notes, overall pevi
manuscript present novel hybrid, experimental results demonstrated, key idea collaborative, method using real, information retrieval electronic health, indiana network, 46 test cases new, truly, markov model leverages, filtering originating recommender, interested, using dynamic multi
emotional, retrieval ir behaviours entrepreneurs, information medium, determining component process, needs richness, reveal, referring accessibility essential, preference use, serve, associated factors addition effect, narrative review literature, paper lens
retrieval performance evaluation platform, citing important, achieve robust, interactive plots, number metrics popular scientific, tuning order achieve, allow parameters fine, topics information, approaches user, integrated, set, work present
leverage performance model, convolutional multi modal hashing, adapt changes, topological, mean average, algorithm proposed, process retrieve, precision map reaches 8048, 32 bit 64 bit, mir, fgcmh exhibits bestin different, environment technological progress
based information searching images, demonstrates automatic semantic analysis, developer area company google, named, hoped specificity low expected, process users, method makes progress order, creating new service, mainly, previous tests author, feature reported turns categories, query years method
2019 track attempts, area according, build framework, 20 relevant, questions firstly completes question, simple effective method high, open, turn classifies, using trec cast, domain conversational information search, extracts related, using previous
improvement concavity, propose novel, multiple query image retrieval, semantic, properties pareto, characterizes asymptotic, include object, real, proposed algorithm outperforms state, fronts, consider single, databases attribute performance
particular genetic sequence required, retrieval extraction unique patterns, size like images speech, developing, database different, item high, signals holding, decomposition dimensionality, input data singular value, reduction apache mahout hadoop, using map, framework finally retrieve
subset, state theart, kullback leibler distance, approaches word sense, cuis given term, perform candidate document, proposed ir based approach, ulms metathesaurus deal situations, identify potential, deal, source, expansion plagiarism detection medline
order relevant answers question, algorithms outperformed simple, obtained community stackexchange, latent semantic space similarity, ad hoc, addition significant, dirichlet, quality assessments, information, ir tasks using, infer user defined, allocation lda
includes following, management work cooperate, openness interactivity dynamic, characteristics microsoft technology, mode use, traditional, complete revolutionary evolution document, course, compared, foundation basis implement, constructivism, retrieval course network teaching
generated stored various forms, models strategies challenges important, internet posed, adopted, specific predefined role, available, exponentially increasing, sets, accelerated myriad studies realm, depends efficacy, surveys basic, information retrieval ir
different formats major problems, hybrid central federated, healthcare information exchange based, remains implemented despite extensive, subsystem creates directory, authentication, variety, solution modeled, cost, records reside second, slow exception public, adoption pace
terminologies, specific characteristics abundance, completeness resulting list given, increased exponentially makes difficult, manually capture, great challenge apply, framework experimental results, help obtain users, based state art, domain directly domain specific, rank biomedical information retrieval, propose
technical briefing, processing software engineering, text retrieval natural language, used, field, language, state art, discusses applications, use text, techniques used, natural, presents state
results presented paper, environment connected, ontological analysis cognitive, integration, construction updating main difference, features framework problematic, ones, light issues data, carried time, space possibility justification, determined formation concept, universal algebra
point paper propose, query uses standard, spoken audio audio search, qbe std important providing, dtw algorithm using clustering, similar, speedup 2400x, files general approaches, regions likely contain, handle large, exact start end times, derived known dynamic
tradeoffs, information retrieval, conditions schemes error, transmitting, focus case size, retrieval coded storage private, propose, depends number data, derive, class linear, record, download cost upload cost
aqe adaptation pmi expansion, enhanced knowledge discovery taking, addition automatic, 49, arabic wordnet corpus query, prf methods, process successfully reduced level, recall, proposed techniques air shows, mean average precision, documents produce worst, wise mutual
query input domain, modulus improvement quadratic, novel perfect, chances, recursive trapdoor bit based, user order gap presented, claimed chor et al, scheme new scheme reduced, techniques rely existing, privacy preserving single database, linking function takes, communication cost
cross modal retrieval methods, years diversity quantity, methods image text, mobile devices, review recent deep learning, information data exploded popularity, evaluations state, classify categories, problem, paper highlight key, scale multi, aims retrieve
language input calculating, crime evidence based domain, basis query, ontology model accepts user, organized method, deal, needs realized, shortcomings keyword, experimental results showed proposed, search traditional, characteristics current, calculating correlation similarity
automatic, propose novel, algorithms discussed paper, select professor select, great functionalities, lucene application ui, automatic assessment narrative answers, exposes, send, experiments presented result, rest api rest api, students java application communicates
paper, discipline using, develop information retrieval, order improve quality, new widely researched, relatively, link, mining, theoretic approach paper, link network analysis courses, investigates, mapping visualizing
autonomous fashion aims, advantage overall users notified, provide users, need adapt, whilst, network heterogeneous devices motivation, improving information retrieval, article studies process, data tools enable, date information spread large, magenta model improving, searching files peer peer
health care, novel challenges, emr, experiments standard large, traditional, markedly outperform bm25 baseline, sentiment analysis predicting sales, information retrieval models, terms independent, associate incorporate, balance verbosity scope, conclude
removing stop, weight matrix, implication, include preprocessing, electronic form generated, approaches applying tf, idf used, availability computing facilities large, making text categorization, used results increase, deletion irrelevant data, developing expert
basis complete set, form, number natural, lexicon, paper proposes, normal, retrieval finding specific, automatically, possible ways synthesizing, kazakh language stemming algorithm, algorithms automatically isolating, endings
rate precision rate, method web simple, retrieval query interface ontology, capture clear meaning keyword, fail address, low proposed new, process large, algorithms fail properly reflect, search results low, prominent data, allows, comparison
numerical results verifies, applying time, download, fundamental limits, end novel, linear combination rlc, prefetching pirc problem, private information retrieval pir, different cache file size, case study provides, scheme based random, leverages retrieve desired
engines paper, different, research chosen, used nowadays, example systems regular, explain functions scenes results, bring, structure, information retrieval distributed databases, key idea, bing evaluation, specific query key
makes possible conduct augmented, neural model incorporates, results help people, proposed schema comprehensive performance, extraordinarily increasing given fast, leverages customized, world, contents hidden, conducted validate new, algorithms techniques developed, demonstrate effective understandable pragmatic, cybersecurity information retrieval
recently linking machine, need, overvie, new trend, integration, discusses benefits, automated machine learning automl, information systems management make, quality simplifying, super discoveries make accurate, field information, issues ensuring data security
retrieval model audio frequency, establish table file, quickly target, multi group structure, assumption external, application big data processing, method adjusting network parameters, eigenvalue, key words inverted, technology power marketing based, calculate complexity, according underlying features feature
library database resources order, highest, controlled experimental method, use university, significant impact cognitive, drop list boxes, load task, users information retrieval experience, provide, digital, design optimization suggestions, characteristics form
application logistics techniques, tools results indicate, incorporated technologies, 2009, decrease subjectivity, activities like, making extremely, mistakes increasing chances saving, features streamline, medical coordination emergency requests, summaries machine, machine learning decision
compared existing platforms, types order, method framework, accurately located, choice people, big data storage, develop rapidly, shows remarkable, music data analysis retrieval, information resources users, 69 62, text conducts depth
retrieved wider, archived repositories, enables unlock, case studies sharing, relationships relationships, traditionally, make, freshwater quality, items assist, libraries make difficult navigate, ancient wisdom literature defra, semantic web data
plugged service, robust geospatial web service, agricultural drought performance, 10 tb data product, variety consumers, set methods build, serve public, result shows, lasting term, excellent response time, day ensure, handle heavy
model handling large, power, ignore node, wgan traditional knowledge graph, agcn used capture local, tasks order verify, experiments experimental results proposed, real business scenario city, extracting correlations, features single, weight distribution, retrieval method based
uses feature, combines lda, improved, feasibility effectiveness, heavily cited, topic feature learning rank, document, dirichlet, vector, latent, algorithm, adds
develop high, brink community instead sending, accumulating wishes, edge techniques ai develop, include aspect, recent, privacy safety, especially, caching facet gadget, admission statistics, innovative efficient retrieving data, function advancing ir
solution linear programming, replicated databases, set extensions restrictions finite, capacity symmetric, collusion eavesdropping constraints, original, replaced number number optimal, play role spir, remains unchanged exchange, result shows, patterns collectively affect, corollaries
response lack image, perform feature matching achieve, model article composed convolutional, measurement method used, space perform, modal luxury microblog retrieval, idf, neural network tf, try build cross, application better support text, high, important theoretical guiding
evolution classification systems controlled, crucial digital age computer, discussed findings revealed glams, increasing volume data, framework spans, precision accuracy converting, early solutions, elucidate contributions field, ontologies particularly cultural heritage, necessity formal, analysis crm vs edm, shared
functions characteristics, communications users developers, web based archive, planning implementing processes, comparative, viewpoints archivists personnel requirements, charge digital, diplomatic economic records modern, ars including key players, attentions study aims presenting, sinica participating, effective worth paying
processing systems remove, automatic stop word list, index storage, specific domain play, size paramount importance, experiment results proposed approach, similarity function, contribute information content documents, persian, search engines encountered new, terms proposed, new challenge obliged store
paradigm solution state, different, grid using, widely used nowadays, recurrence plot, suspicious fraud, energia largest, posterior field, signatures indexed using shelf, extract deep features electricity, tackle imbalanced class, user search specific
petabytes information available, engines like, information individual reason getting, hectic distinguish, issue, retrieval based improvising search, bm25 model, result shows better results, mismatch availability resources, using rocchio, expansion cosine, meaning vocabulary
analysis variety format, sub node peer, file positioning high speed, intelligent distributed text retrieval, adopts, design implementation intelligent, time operation exist, consume resources file, hot issues network routing, solve, chinese, techniques greatly
ontology information retrieval techniques, based, difficult task, outburst information available, paper review, come, process days need retrieve, network vast, retrieve meaningful intelligent, analytical study, ir method retrieving, web irreplaceable
direction finding, previous work selected sets, corpus, recovery application, claims showing, studies studies formulated, propose, thateven different, usually, results ir based traceability, links types, dependent properties
based, machin logistic regression natural, paper, proved chose substantiated, section work shown control, developed product naive bayer, question answering systems development, retrieval python, vector, comparative analysis construction speed, big data analysis methods, describes process
images videos, methodology sequentially broken, liable subjective, block classification employs boolean, mizer hybrid, hand current automated, using bert cased, tri gram approach, 52 named, average f1 score, observed exponential increase, hybrid resume information retrieval
parts low rank, matching method useless, generate elements, famous conventional, analysis lsa model, paper propose content based, consume large memory, negative matrix factorization method, latent, continues increasing, dimensions meaningless, retrieve expected results semantic
plm preprocessing, arabic information retrieval, trec 2001 2002, non diacritical, crter markov, khoja light, using terrier ir platform, terms occur close proximity, order bag, experiments performed, field model mrf divergence, including
mesh concepts allows quickly, quickly identifying candidate, fish oil raynaud, correlation obtained, paper presents, biomedical literature information retrieval, model contributes filter, replicating swanson discovery, tested approach, joint use, potentially, information
semantic multimedia big data, way bridge gap target, mobile technologies extended experiments, view stressed, basic component, graphdb populated, available, linguistic properties relate effective, retrieval reason problem, academic industrial community, underlie implementation user, process framework
faster cnn, document analysis information extraction, enabling reusability batch, data type multistage, creation digital, day day activities entail, options template, structure corporation, complete functional solution, process focusing deliver high, financial toll, range approaches
scientific evidence regarding, precision subsequent ranked list, medical information retrieval, 30, evaluated using, limit negative effects synonymy, trials considering volume existing, demonstrate ensemble approach, parts inverted, 733 328 articles, fetch, growing getting relevant
terms sequence, bayes particle, swarm optimization, clir proposed various noticed, focuses applying, sub domain, especially, just using single, query make, area required worked order, information retrieval cross language, gives user change
order overcome limit propose, built, present pir test, query additional source, integrate, models experiments, exploits user, supported classical, test collection built social, different backgrounds express different, network delicious, profile personalized information retrieval
corpus stemming lemmatization, query, standard natural, independent, distance longest, tamil hindi innovative, needs vast amounts, plis proposed, base form paper, derivationally related, method exploits quality, expert probabilistic approach needs
provide services entity, field authors selected, processing multi source rice, stepping, overall view current, nature language, elsevier baidu zhixin, result shows, industries google bing, future research concerned, field instantiation stably, retrieval based knowledge graph
idea, geospatial data retrieval proposed, employed express, traditional, reordering candidates user profiles, user information, available, reflect, introduced demand, driven oriented suffers problem, improve quality, divided groed grofd
weight giving weight, handicraft based, image retrieval algorithm based, express color, puts forward genetic usurpation, designed implemented verify performance, effect paper proposes adaptive, computer interaction characteristics easy, set used simplest, block, research traditional, moment paper puts
requirements traceability recovery, semiautomatic, vsm, using extracted, pressure, rank documents using documents, results indicate low precision, primary means address, activities change impact, space model latent, lack communication time, ir techniques applied
enhance, traditional, leverage power artificial, finance healthcare, use machine learning based, organizations meet, capture retrieval leading, performance time approach shown, directions field overall paper, handle large amounts, today, discussed potential future
addresses lack adequate, evolved paradigm, peer information retrieval systems, using ontologies build, lack adequate test bed, network challenging task caused, dir, standard, propose, systems branch, evaluate algorithms performance, poverty
daily, key issues application kbe, angle new domain, discuss information, km methods, retrieval engineering support systems, work contributes bridging gap, setting huge number, goal capture, product process, solve successful integration, list detected
89 58 10, language experimental results accuracy, respectively, explain guide respond features, upgraded information, empower, indian, government scheme, generated user user, advices suggestions, farmers latest, information desk utilizing voice
user query, frequency inverse, using favorite, represented vector, paragraphs consider words, weighting techniques document retrieval, significant model, thesis devised new, augmentation twa gives, usually, dispersed, tested techniques relevant
at3, heterogeneous dispersed varied, organizations presented including, agent systems engineering mase, aware, genomic information retrieval, fills gap quite, organisms, method, unprocessed data, building custom, including goals
extraction ir based, closed domain, language best way address, implementation approaches various, concept natural, urgent, process wastes, navigation time, question answering systems qas, user saving, role developing, return ranked documents result
leads reduction, method calculates nearest, relevant, estimation equation experiments conducted, enhanced document expansion, new procedure, chic2013, feeding, objects digital resource objects, experiments conducted cultural heritage, collections statistically, dros suffer shortage contents
40, india, people paper proposes, effective malayalam information retrieval, user information, evaluation performed, processing tasks highly agglutinative, specified query, expansion, negations terms, natural, language like
replacement knowledge replacement, problem using synset, services word mismatch, solve base, methods moving, environment demand building applications, simple possible, quite comfortable, relationships information, research started overcome, high conflational rate paper, information retrieval telugu language
frequency collaborative filtering score, term matching ignoring, maintenance workload, paper proposed semirfl model, semantic similarity features, significantly outperform existing representative, feeded metadata, existing bug localization approaches, boosting fault, development evolution applying different, files help, deep
model vsm cases, researches focus applying traditional, kernel achieves significant improvement, document geographic information retrieval, refer debris flow actually, topology direction, path dependency, hunan key reason, apply support, relation expressions natural, year, experiment
different, fields, produce errors different types, methods end list future, state art ts, published 1968 2023, systems exponential increase, stemming methodologies information retrieval, study depth review selected, important step, leading degraded performance applications, digital data creates
space model, problem domain obtain, document frequency tf, searching novel synonym weighted, experiments study proposed method, proposes novel, extended vsm, mean average, publicly, content different forms using, precision precision recall, combination modified term
terms average success, multiple servers work, optimal rate distortion, database contains, desired file main, corresponding closed form, simultaneously relax, lp approach nonconstructive scheme, tradeoff download, information leakage file size, guarantee user privately, desired
intelligent, comparing model, result experiment shows, key matching new, semantic retrieve based ontology, traditional, technology occupies extremely, reference value process, retrieve development direction, proposed paper, field aiming disadvantage, algorithm
retrieval based ontology, does provide service direction, current, increases significantly large volume, number web page, meaning words ambiguous perform, reflect meaning, meet exactly, document objective design types, humans machines, reserved storage pedagogical, allow inference
retrieval methods exploiting, great recent years, domain, medical resources semantic information, according query second, navigating, propose, improve effectiveness, champ allowing time pertinent, level create, map retrieve, second time discover new
years, information retrieval services intelligent, lookup protocol tier vanet, simulations based, overlay, integrates, conventional, required retrieve, facilities efficient, success rate low, filter space, reduce p2p
web community user contributed, propose new question retrieval, identify key non key, main reasons verboseness natural, approaches overlook weights, art, refinement pivot, experimental results demonstrate integrated, word mismatch, cqa services general, model significantly outperforms state, using existing
sports, contents enable, builds integrates multi, experiments demonstrated efficiency proposed, big challenge organizing analyzing, collections requires specific, ontology gaining multimedia retrieval, method, 91 94, compared classical, using multi modality, precision recall measure
expectations, depth survey challenges design, issues select, set operations, existing activity, systems pointing similarities differences, feedback vector, soft information retrieval using, preprocessed crawled indexed web, hybrids, future research direction intelligent, engine performance implicit
long hampered, area, corpora vastly different structure, related litigation, enterprise technology creation retrieval, lifecycle, high level properties, effort fortune 10, center stage example ediscovery, skew ness various axes, highlight primary, meant eim
dempster shafer, specific database, degrees, configuration described algebra possible, analogical, marginalization operate, possible, uncertainty valuation assigns data, norm norm, firstly looking answers, set, interpreted information retrieval
kernel dataset contains, recovering, gap investigating, used concern localization linux, 500, employ, automatically link, described natural, features bugs, activities approaches proposed, units functions, implementing functions ranked ir
research considerably enhance retrieval, education guide information managers, different formats, years data, similar agencies umbrella, pool information, add value repackage, teknologi mara, taxonomy terms product, considerably, members university applied, analysis method
partitioned nonoverlapping, form messages different, pliable private information retrieval, retrieve new, ppir si single server, download rate compared, study problem, desired class identity, usi, structure term, stored number noncolluding, surprisingly having
method important implications research, rank use word, key issue, compared traditional, trec, public, query expansion based deep, learning based distributed, user intent filling, understand needs, accuracy rate, vector construct
based, indexed advance elasticsearch evaluate, calculation method cosine, area deep, responsiveness limiting applicability big, visual features image retrieval, function output layer, 16 pre trained, propose, results effectiveness efficiency proposed, l2 norm, data applications paper
experimental results trec test, bring best, paper performs, different settings, addition, empirical, modeling approach issue, potential effectiveness incorporating, retrieval query expansion qe, discussed address, classical language, structures examine potential
efficiency ir average cost, stores position, based string matching dsm, theoretic, access source, list posting table limit, code formulation define, referred grams, ii run, given length, query efficiently paper statistical, define communication
require users, simulator compatibility efficiency various, hadith retrieving, recent rapid, anytime, represent extremely challenging, malay haditli text mobile, devices make, machine translation adapted development, refine queries, usually, algorithm
intention major, paper use real, retrieval framework personalized websites, growth networking cyber physical, difficulties addressing challenges brought, modified parameters, especially, experiments illustrate, time location, obtain relationship user, feedback based accurate intelligent, cpsss
mainly uses natural, artificial intelligence technology based, users variety related websites, engine, judgment short accurate answer, survival life produced, elaborates, question answering natural language, ability select, series keyword, functions computers fundamentally promote, research optimizing method
forced, information retrieval vector space, really need, pandemic spread various effects, economic educational social sectors, model effective good, local computer server internet, engine program used tool, precision calculation value 60, large set, unstructured properties, cosine similarity
identification ability, searching field, unstructure, agricultural product information ontology, semi, model defined, topic, information technology based, standards carried, improve reliability stability, order improve, algorithm used extract
voting coordinates, distance word fn, maximal number, bruck model associative, yaakobi, different, input clues needed information, revealing codes binary hamming, improve key, parameters applications compared, provides list, problem levenshtein channel
bring concept named, searching content ontology cloud, computing accompanied exponential, term frequency, tools applications new surge, sizes need desired, users, effective efficient bridge, file holds lot space, documents given taking, maintaining consistent logic input, space distributed environment
overload, retrieving, validation master, ir systems developed, versus number, prototype tool runs, decentralize, executions discussion, follows analysis, research information, later viability demonstrated set, slave distributed crawler
interacts modern, meaning fever flu, number information, cross, latent semantic, internet seen increasing, used user, proposing, analysis technique order benefit, providers topic health, information retrieval thai herbs, matching problem
based, extracted presented actual effect, business people pay, means algorithm, petroleum information retrieval based, attention means, accuracy automation level, open, explosion paper, production operation shows customized, agile improves, source framework scrapy build
mass unstructured, demonstrate effectiveness framework employing, integrates following core functions, values worth retrieving, pages contains, engine limited capability, analyzing geographic information web, meaningful, presents, names address, source, statistical
structure relations constraints, value mapping score issue, irs called, issue word, using parts speech tagger, information retrieval ontology, paper technique proposed improves, process allotting, hypothesis domain, sharing reuse, solved extent using, richer internal
application propose novel approach, addressed paper brief, typical, missing data information retrieval, special cases classical probability, simulation controlled, models uncertainty models compared, chose general, impact, expressiveness criterion non, measures performance typical, representations
space model baseline, quality library management, similarity context, profile, statistical data, proposed general extensible architecture, paper presents, using vector, criteria sorts user, experimentally evaluated approach, general, argosearch information retrieval based
expectation maximization typical, features frame large, experimental, audio retrieval based manifold, capability existing distance, gmm drawn data points, generalized adding positive, component employed main, ranking assigns, instead traditional, compute timbre, examples relevance
cultural tags, various approaches adopted, modalities able, level representations motion, scores, processing tasks recent, multimodal music information processing, exploit different, include, conclude set, application address, research communities focus years
causing low, map recall generated applying, indonesian hadith retrieval thesaurus, expansion using, position moslem life application, execute input query directly, second source law, measurements includes precision 10, dbms, followed manual validation, increased 34 searches query, 16
inherently poses, documents distort, able, strength estimation method experimentation, pooling, similar outcome, retrieval systems rankings, validate proposed, correlated gold standard, coefficients remain different number, generate new list, experiments means
needed, reasonably good fit suitable, sources library, exceeds value recommended previous, range novices experts, previous studies concluded, method using, structural equation, modeling amos 16, information seeking behaviour factors, graduate, factor analysis labeled
arabic language information retrieval, try exploit, dependencies, mining based, tools preprocessing step, meaning, help identify, ir considers senses query, standard, knowledge enhances, discussed communication hand, comparative experimental
