gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
Auto Attendant System, portable Auto Attendant, Auto Attendant, attendant system connects, System, caller, portable Auto, sophisticated dialog structure, Attendant, sophisticated dialog, Auto, system connects, connects the caller, party, dialog
mesh generation Large, complexly shaped multiply, modern materials science, generation Large number, complexly shaped, shaped multiply connected, multiply connected domains, finite element mesh, Large number, element mesh generation, modern materials, science and engineering, engineering is defined, shaped multiply, shaped domains
agent-based models support, Modeling group foraging, individual suboptimality, group situation, isolated individual, series of agent-based, support the hypothesis, group foraging, agent-based models, models support, Modeling group, behaviors adapted, evolve foraging behaviors, group, individual
Lyapunov function method, generalized sufficient condition, function method, present a proof, generalized sufficient, discrete-time neural networks, fixed point, sufficient condition, Lyapunov, discrete-time neural, neural networks, Asymptotical stability, Chen and Aihara, discrete-time, networks
academic law librarians, Law librarians' survey, academic law, law librarians, Law, SPTL survey, academic, survey, librarians in decline, BIALL, law library profession, decline, librarians', SPTL, designed to acquire
difficult to trace, tutorial Flooding-based distributed, tutorial Flooding-based, Defending against flooding-based, DDoS attack methods, DDoS attack, flooding-based, Internet, typical DDoS attack, Internet connection, distributed, attack, DDoS, Internet core, typical DDoS
network simplex algorithm, simplex algorithm, network simplex, cost flow problem, consecutive degenerate pivots, minimum cost flow, degenerate pivots, algorithm, simplex, simplex algorithm performs, network, primal simplex, degenerate, pivots, pivot rule
Key Digital Leeza, Scaling interlaced video, match high-resolution plasma, Presenting-a better mousetrap, Key Digital, tough job, DLP displays, outboard video signal, Leeza outboard video, LCD, Scaling, Leeza, DLP, Key, Leeza outboard
rarely make history, behaved women rarely, women rarely make, rarely make, make history, behaved women, women, history, computer science, behaved, rarely, make, computing business, business, computing
partial differential equation, paper addresses robust, complex biological processes, Robust model-order reduction, addresses robust model-order, high dimensional nonlinear, dimensional nonlinear partial, nonlinear partial differential, complex biological, Robust model-order, processes This paper, paper addresses, high dimensional, partial differential, nonlinear PDE model
acceleration and torque, reduce overshoots appearing, Fractional motion control, path tracking design, motion control, small displacements, cutting table, order to reduce, reduce overshoots, appearing for small, path tracking, Fractional motion, fractional differentiation, cutting, cutting table model
population learning algorithm, technical feasibility constraints, optimization problem Proposes, hybrid approach integrating, learning algorithm approach, solving reliability optimization, artificial neural network, Proposes a hybrid, dedicated artificial neural, maximising system reliability, population learning, learning algorithm, dedicated neural network, reliability optimization problem, problem Proposes
cutting-edge manufacturers begin, factory floor, widespread basis, Ethernet networks, pretty clear, implementation as cutting-edge, manufacturers begin, begin to adopt, adopt the technology, clear that Ethernet, won the battle, network of choice, won in implementation, Ethernet, Ethernet has won
Ultra-high speed positioning, gravure engraving unit, speed positioning control, Ultra-high speed, speed positioning, engraving unit, control, high-precision response, high-speed, electro-magnetic actuator, high-speed response, response, piezoelectric, high-speed and high-precision, achieve
achieve five-nines reliability, everyday commercial-quality hardware, achieve five-nines, reliability with everyday, high availability, hardware and software, Design patterns, software design patterns, hardware, high, software, Design, high availability systems, fault, redundant hardware components
Quick media response, media response averts, Cyber Patrol Internet, popular Cyber Patrol, Patrol Internet filtering, Microsystems Software pulled, Cyber Patrol, Internet filtering software, averts PR disaster, Quick media, media response, standard crisis management, marketers at Microsystems, Internet, popular Cyber
dose optimization algorithms, dose optimization, dose distribution, dose, Effect-volume histogram, EVH, optimum dose distribution, analysis of dose, analysis, objectives, treatment goals, tool, EVH reveals, advent of dose, Effect-volume
enzyme fermentation process, process prediction, biotechnological process prediction, hybrid models, hybrid mathematical models, optimization results obtained, prediction and optimization, structure hybrid mathematical, prediction, process, optimization of enzyme, hybrid, optimization results, models, optimization
Self-describing Turing machines, sketchy historical account, Turing machines, sketchy historical, historical account, discussing the definition, definition of suitable, suitable encodings, give the construction, Turing, self-describeness and self-reproduction, Self-describing, machines, question of self-describeness, encodings for self-describeness
induction machine drive, field-oriented induction machine, speed-sensorless control, Design and implementation, sliding-mode observer, observer for speed-sensorless, machine drive, control algorithm, proposed algorithm, control, induction, machine, speed estimation, current, control of induction
components analysis Bad, analysis Bad pixels, principal components analysis, Bad pixels, Bad pixel identification, pixels, showing a temporal, temporal evolution, principal components, Bad, analysis Bad, pixels showing, principal, analysis, components
terms of number, nuclear magnetic resonance, Quantum-information processing, quantum systems, Experimental implementation, nuclear magnetic, magnetic resonance, quantum, half-adder and subtractor, subtractor operations, system, Experimental, efficiently performing, performing, processing by nuclear
resolution based proof, temporal logic CTL, Clausal resolution, rational agency, based proof system, branching-time temporal logic, representing belief, logic, Belief is presented, logic CTL, Temporal, agency A resolution, resolution, Belief, based proof
Editorial system vendors, system vendors focus, Editorial system, newspaper-system market, system vendors, vendors focus, Mac, focus on Adobe, Adobe InDesign, alternative to Quark, Quark XPress, Adobe, Editorial, market, respect
control chart pattern, control, chart pattern recognition, control charts, learning vector quantization, LVQ, chart pattern, learning, vector quantization, learning vector, learning network approach, charts, SPC, pattern, Pham and Oztemel
Surrey County Council, County Council Swan, Council Swan project, network Surrey County, Europe biggest implementation, VoIP makeover transforms, Surrey County, Council Swan, duckling network Surrey, makeover transforms ugly, transforms ugly duckling, Swan project, project is Europe, Europe biggest, ugly duckling network
hearing people Discusses, hearing loss presents, people Discusses, Discusses the nature, Information access, deaf and hard, nature of deafness, hard of hearing, hearing impairments, hearing people, onset of hearing, hearing loss, loss presents, present practical tips, deafness and hearing
introduces Java programming, gender-neutral game-based software, introduces Java, Java programming, Virtual Family, discusses Virtual Family, Java, Family, approach to introducing, game-based software, Virtual, Virtual Family teaching, Virtual Family concept, Information Technology, introduces
torso surface asymmetry, input torso indices, Genetic algorithm-neural network, algorithm-neural network estimation, artificial neural network, scoliosis Scoliosis severity, Cobb angle, torso asymmetry, torso indices, torso surface, input torso, network estimation, neural network, genetic algorithm, estimated by artificial
library information systems, LIS educators, LIS community, isolated theorist, fully the contribution, make to society, classification makes, role and future, future of subject, exploitation of resources, educators appreciate fully, integral part, subject classification, legal information, profession and LIS
Fidelity and Berkshire, Berkshire Group, Group of Companies, strong technology platform, financial institutions, products and services, cross selling, charged with developing, developing a strong, sell their products, Fidelity, strong technology, finance, FleetBoston, Berkshire
current transients, PSTH response, PSTH, time, input, spike, response to current, input spike, model, time constant, membrane time constant, PSTH data, response, simulated PSTH data, data
nonlinear parabolic equations, parabolic differential equations, fully nonlinear parabolic, nonlinear parabolic differential, study time discretizations, parabolic equations, parabolic differential, fully nonlinear, differential equations, study time, discretizations of fully, equations We study, parabolic, nonlinear, equations
ETACT scintimammography Emission, scintimammography Emission tuned, Emission tuned aperture, aperture computed tomography, tuned aperture computed, Emission tuned, ETACT, Angular disparity, computed tomography, tuned aperture, previously shown, disparity, Emission, scintimammography, Angular
health care environments, Health Level, enables disparate computer, disparate computer applications, health care, exchange key sets, electronic data exchange, encoder and decoder, Health, message, Design and implementation, enables disparate, disparate computer, computer applications, sets of clinical
noise Iterative gradient, Iterative gradient methods, brain noise Iterative, MLP, MEG source localization, accurate MEG source, trained, noise, Fast accurate MEG, MEG source, MLP trained, EEG, real brain noise, Iterative, MEG
Library of Congress, cataloger workstation revisited, utilizing Cataloger Desktop, Cataloger Desktop, electronic cataloging tool, workstation revisited, opportune time, cataloging tool aggregator, cataloging tool, cataloging operations, cataloger, online cataloging tools, Desktop, cataloger workstation, Congress
signal processing, discrete short-time Fourier, events This paper, paper deals, power quality events, discrete STFT, short-time Fourier transforms, signal processing techniques, power quality analysis, power quality, STFT, quality events, Fourier transforms, power, processing
association has brought, article outlines, closer association, academic This article, increasing convergence, mutual benefits, information departments, information, outlines the increasing, benefits, academic, information profession, convergence between academia, brought, specialist skills
services choices manufacturers, Technology decisions, critical hardware, services choices, choices manufacturers, manufacturers are making, begin to emerge, recession and position, software, Technology, hardware, future, decisions, paper, critical
influence aesthetic preferences, influence aesthetic, physical size, aesthetic preference judgments, aesthetic preference, object can influence, physical, aesthetic, influence, stimuli, influence of physical, preference judgments, preference, participants, judgments The hypothesis
Average Run Length, procedures of constructing, probabilistic control charts, constructing control charts, linguistic data, probability theory, control charts, fuzzy, fuzzy and probability, degrees of fuzziness, Average Run, Run Length, control, fuzzy approaches, Raz and Wang
stenosed coronary artery, coronary flow reserve, Numerical modeling, coronary artery, flow reserve, fractional flow reserve, coronary arterial stenosis, flow, main hemodynamic parameters, coronary, coronary flow, parameters, stenosis, simple geometrical parameters, hemodynamically based parameters
flow problem Minoux, balanced flow problem, maximum balanced flow, generalized maximum balanced, total flow, balanced flow, maximum flow problem, flow problem, flow, generalized flow, maximum flow, fixed proportion, vertex set, generalized maximum, problem
Leucadia National Corp, National Corp, end of Chapter, telecom, Chapter, Leucadia, Corp, Williams Communications, National, Williams, Williams nears end, Communications, end, million boost, carrier afloat
law library users, broader view, law library, local reference library, perfectly appropriately continue, Internet resources, start with Internet, library, location mark indicating, users The author, Cataloguing, usual, office, accessible collection, law
Congress subject headings, Library of Congress, assigning Library, Congress subject, classical literature, ancient history, subject headings, question of perspective, assignment of subject, world view, literature and ancient, article explains, explains the concept, influences the development, development and assignment
FACTS devices installed, Intelligent optimal sieving, multi-target oriented optimal, FACTS device, FACTS device output, optimal sieving, installed in multi-machine, FACTS, optimal sieving method, multi-machine power systems, oriented optimal control, optimal control strategy, optimal, power system, sieving method
business information units, professionals commonly overlook, commonly overlook ethical, business information professionals, information professionals commonly, overlook ethical dilemmas, units The primary, commonly overlook, primary thesis, thesis remains unproven, information units, overlook ethical, ethical dilemmas, Resolving ethical dilemmas, business
product lifecycle management, implement targeted projects, targeted projects intended, deliver return-on investment, product lifecycle, manufacturing companies, timely fashion, second-generation PLM products, widely recognised, manufacturers begin, begin to identify, identify and implement, implement targeted, targeted projects, projects intended
gating charge movement, transient gating charge, gating charge, calcium ion channels, ion channels, gating, potassium channel gating, voltage-gated sodium, ion, transient gating, charge movement, voltage-dependent ion channels, channel gating, calcium ion, precede channel opening
one-dimensional cellular neural, cellular neural network, neural network mosaic, spatially variant templates, CNN with spatially, mosaic patterns, spatially variant, work investigates, investigates the complexity, complexity of one-dimensional, cellular neural, neural network, variant templates, network mosaic patterns, CNN
texture, synthetic, mammograms, clinical, mammogram texture, tissue, synthetic mammograms, clinical texture, tissue regions, features, synthetic images, synthetic texture feature, compartments, images, computed
Evaluation of existing, feature recognition algorithms, feature detection, National Design Repository, algorithms, feature, feature recognition, Experimental results, SUN Workstation, feature detection techniques, paper, detection, Design Repository, general-purpose feature detection, National Design
institution mobile play, wireless success, mobile play, key to wireless, desk can make, make or break, break an institution, Ameritrade and RBC, Help-desk support, finance, Help-desk, success, play, RBC are taking, Schwab
temperature, temperature-activated wear, cutting, tool, Modeling cutting temperatures, interest in machining, fail by thermal, thermal softening, softening or temperature-activated, inserts, cutting temperatures, temperature correction factor, tool geometries, model, correction factor model
graduate seminar format, addresses cutting-edge issues, traditional graduate seminar, seminar format, Network-centric systems, author describes, describes a graduate-level, cutting-edge issues, graduate seminar, systems The author, issues in network-centric, format, systems, Network-centric, author
infinite duration two-player, time special case, duration two-player games, two-player games played, infinite duration, linear time special, games, linear time, two-player games, games played, time, linear, mu-calculus model checking, linear time algorithm, modal mu-calculus model
quadrature mirror filter, filter lattice filter, mirror filter bank, lattice filter bank, coefficient quadrature mirror, structure quadrature mirror, lattice structure quadrature, coefficient lattice structure, filter bank, filter lattice, genetic algorithm, coefficient lattice, lattice structure, filter, SPT
Petri net evolutions, Transition Petri net, Petri net, relationships are considered, Petri, semantic domains, analysis and synthesis, net evolutions, Transition, analysis, synthesis, Place, nets, domains for Place, recording
online marketplaces evolve, customer demand, Trading exchanges, evolving rapidly, exchanges are evolving, online, demand, Trading, exchanges, marketplaces, evolve, evolving, rapidly, manufacturers, customer
open-architecture precision motion, motion control system, precision motion control, precision motion, motion control, integrated and open-architecture, control system, control, open-architecture, motion, system, integrated, system is presented, precision, drive servo systems
inch magneto-optical disk, maintaining downward compatibility, downward compatibility, groove recording method, GIGAMO media, maintaining downward, capacity of GIGAMO, GIGAMO, recording capacity, groove recording, recording method, GIGAMO technology, inch, magneto-optical, capacity
giving you tips, common mistakes made, enterprise programming, programming, mistakes made, mistakes, enterprise, directly, common, made in enterprise, giving, tips, made, common enterprise, programming mistakes
realization of registers, red-detuned laser beam, selectively addressable dipole, dipole traps obtained, addressable dipole traps, far-detuned dipole traps, atomic qubits, trap neutral atoms, Micro-optical realization, dipole traps, registers of atomic, scalable configuration, experimentally demonstrate, demonstrate novel structures, obtained by focusing
complex parts typically, parts typically involves, sequential tolerance control, machine tools, tolerance control, machining of complex, involves a logical, logical and chronological, chronological sequence, adaptive sphere-fitting method, complex parts, parts typically, tolerance control specifies, set point, design specifications imposed
requirements of quality, quality of service, Internet video broadcast, systems Multimedia applications, distribution systems Multimedia, Internet video, distance learning, systems Multimedia, stored video distribution, video, Internet, Multimedia, video broadcast, stored video, bandwidth
Keeping Web accessibility, making Web sites, Web sites accessible, author discusses design, discusses design issues, Keeping Web, making Web, economic perspective, required by law, smart thing, Web accessibility, Web sites, presenting three compelling, compelling reasons, reasons for making
electronic commerce, electronic commerce programmes, electronic, commerce, Raising the standard, standard of management, growth industry, commerce programmes, developing electronic commerce, electronic commerce coursework, commerce professionals, management education, Kenneth Boulding, teaching of electronic, skills
gas-metal arc welding, process Arc instability, GMAW process, arc welding self-regulation, self-regulation process Arc, welding self-regulation process, gas-metal arc, arc welding, weld quality, arc, important determinant, determinant of weld, process, process Arc, GMAW
randomly varying blur, adaptive optics compensated, provide image enhancement, optics compensated imagery, Starfire Optical Range, low earth orbit, multiframe blind deconvolution, earth orbit satellites, Supersampling multiframe blind, reconstructing undersampled image, undersampled image sequences, deconvolution resolution enhancement, adaptive optics, describe a postprocessing, postprocessing methodology
Quantum universal variable-length, universal variable-length source, variable-length source coding, admissible minimum rate, Quantum universal, optimal quantum universal, quantum states, source coding, coding We construct, minimum rate, Quantum, achieves the admissible, universal, variable-length, probability distribution
Global Crossing, Hutchison Telecommunications, Telecommunications and Singapore, Singapore Technologies, Technologies take control, originally offered, investors get steal, lot less money, control of Global, Global, Crossing, Hutchison, Telecommunications, Singapore, Technologies
lightweight piezo-composite curved, piezo-composite curved actuator, middle PZT ceramic, high CTE, middle PZT, fiber composite layer, PZT ceramic wafer, CTE, top carbon fiber, curved actuator, PZT ceramic, lightweight fiber reinforced, thermal expansion, near-zero coefficient, coefficient of thermal
variable constant controller, simple variable constant, Chen systems, canonical Lorenz attractor, complex chaotic systems, letter investigates, joint function, constant controller, Lorenz, Lorenz attractor, Chen, chaotic systems, complex chaotic, canonical Lorenz, transition chaotic attractor
coherent receivers Coherent, Coherent reception depends, receivers Coherent reception, Coherent reception, receivers Coherent, correlation of long, fast Fourier transform, reception depends, long data sequences, coherent, received signal, fast Fourier, sequences for coherent, long data, Fast convolution techniques
wireless handheld devices, mobile network, caches are utilized, Modeling frequently accessed, weak consistency, data, handheld devices, data access, wireless data access, frequently accessed data, Modeling frequently, accessed wireless data, data access mechanism, response times, wireless data
computer clock track, personal computer clock, track the UTC, UTC timescale, personal computer synchronized, clock track, computer clock, Internet, time servers spread, synch error, UTC, minimum synch error, computer synchronized, total synch error, personal
expert systems, problem domains, problem, financial problem domains, accounting and finance, expert, systems, expert system problem, Knowledge acquisition, accounting, domains, Knowledge, financial problem, system problem domains, developing expert systems
important key technology, software development, Component-based software development, component-based software, software configuration management, software, component-based software configuration, important key, key technology, software configuration, CBSD, supporting system Software, development, SCM, component-based
classical mathematical formalization, machines play Individual, play Individual rationality, von Neumann-Morgenstern game, Games machines play, predict human behavior, Neumann-Morgenstern game theory, multiple-agent settings, machines play, explain and predict, predict human, classical mathematical, play Individual, standard model, individual interests
passive vibration control, vibration isolation, controller is presented, Fractional differentiation, passive vibration, vibration control, illustrate the concept, method to transform, robust controller, transform the design, concept of vibration, Fractional, suspension, design, vibration
dynamic fractional-flow model, serial manufacturing systems, manufacturing system incorporating, system incorporating rework, reachability and controllability, model of serial, controllability properties, manufacturing, model, serial, fractional-flow, controllability, rework, reachability, systems
started reshaping offerings, content syndication technology, enterprise-wide content syndication, Syndicators turn, started reshaping, enterprise-wide content, technology and service, Syndicators, Syndicators have started, enterprise Syndicators, products, content syndication, offerings, companies, Syndication companies
Learning nonregular languages, LSTM Rodriguez, networks and LSTM, simple recurrent nets, nonregular languages, recurrent nets, Learning nonregular, learning ability, Elman, context-sensitive languages, languages, Rodriguez, examined the learning, LSTM, simple
reverse arcs, complete digraphs, precisely one pair, pair of reverse, Orthogonal decompositions, isomorphic copies, Orthogonal, complete, digraph, decompositions of complete, vertex-disjoint union, copies, union, family, decompositions
quadratic 0-1 knapsack, knapsack problem, underlying graph structure, fairly simple, special cases, structure is fairly, QKP, series-parallel graphs, underlying graph, graph structure, quadratic, knapsack, problem, pseudo-polynomial time complexity, time approximation scheme
cerebrum segmentation, three-dimensional sagittal brain, cerebrum, sagittal brain, brain, segmentation, image, full three-dimensional sagittal, brain MR images, Automated cerebrum segmentation, Automated cerebrum, sagittal, algorithm, segmentation algorithm, lateral
computer science, earned doctorates reveal, science, doctorates, computer, survey of earned, computer science doctorates, earned, Education Statistics, National Center, Center for Education, doctorates in computer, earned bachelors' degrees, women, science doctorates
system stability investigations, wind turbine modelling, power system stability, wind turbine voltage, mutual effects, wind turbine, voltage stability control, turbine voltage stability, wind turbine power, voltage stability, grid-connected wind turbines, power system, wind, blade angle control, results of wind
firm Outsell Inc., research firm Outsell, Dick Curtis, digital content providers, buy digital content, covers econtent contract, buy digital, disconnect continues, negotiation strategies, people who buy, director and lead, lead analyst, research firm, contract and negotiation, content providers
W-methods applied, Banach space setting, properties of W-methods, W-methods, abstract Banach space, operator splitting, stability properties, W-methods treat, Banach space, geometric theory, Stability, Stability of W-methods, applications to operator, theory We analyze, operator
PDA buyer guide, PDA buyer, PDAs move, personal space, firm grip, PDA, Networking, hand, guide, enterprise, users, palm, buyer, move, personal
list of subsets, chromatic spectrum, feasible set, set, vertex set, mixed hypergraph, strict k-coloring, vertices assigned, vertices, vertices assigned distinct, mixed, spectrum of mixed, feasible, member, interval
Questioning the RFP, RFP process, current climate, lack of spending, telecom carriers, purchasing habits, purchasing process, habits of telecom, genuine concerns, RFP, telecom, purchasing, Questioning, climate, spending
current time level, data assimilation techniques, popular data assimilation, popular data, Data assimilation, Kalman filter type, time level, based on actual, actual measurements, provide an improved, improved estimate, current time, updated initial conditions, initial conditions, model
feature-preserving volumetric technique, distance map defined, adaptive background grid, extensions and improvements, distance map, merge surface triangulations, surface, merging procedures based, background grid, volumetric technique, merge surface, Delaunay triangulation method, procedures based, surface merging, map defined
reduce structural vibration, reduce electrical transformer, electrical transformer structural, enlarged bandwidth control, adaptive vibration absorber, multiple frequencies, target frequencies, reduce structural, reduce electrical, transformer structural, adaptive vibration, vibration absorber, enlarged bandwidth, vibration, frequencies
trajectory optimization approach, transient thermal response, large titanium alloy, sequential open-die forging, titanium alloy billet, open-die forging operations, optimization approach, transient thermal, thermal response, open-die forging, successive forging operation, large titanium, titanium alloy, approach A trajectory, alloy billet
study model-theoretic properties, hereditarily finite, hereditarily finite superstructures, Model theory, study model-theoretic, hereditarily, finite, finite superstructures, superstructures, countable signatures, theories, signatures, countable, isomorphism, subsets
World Wide Web, invaluable information source, Wide Web, Web based, based on pre-defined, information source, Web, HTML page, HTML, Data extraction, Data, Internet, World, Wide, extracting data
sensor the information, motor drives Controlled, Controlled induction motor, drives Controlled induction, mechanical speed sensors, induction motor drives, high reliability, attractions of low, low cost, cost and high, motor drives, motor shaft, induction motor, mechanical speed, motor
process Detection, estimation of abrupt, Detection and estimation, Detection, well-studied problem, Detection of change-points, degrees of freedom, problem, likelihood ratio, likelihood ratio statistic, change-point problem, parallel problem, generalized likelihood ratio, degrees, freedom
dataflow machine, Precedent firing control, precedent firing instructions, dataflow computer, computer which accelerates, avoid degradation, precedent firing, sequential processing, sequential programs, number of waiting, waiting operands, reduce the number, firing control, important to avoid, accelerates execution
chief technology officer, virtual private networks, public access WLANs, Mick Reeve, BTexact chief technology, DSL services, private networks, access WLANs, BTexact chief, chief technology, services and virtual, virtual private, defends the slow, slow rollout, rollout of public
Visible Human Female, Medicine Visible Human, Project data set, National Library, Library of Medicine, Human Female, Visible Human, human kidney, kidney for trauma, finite element model, high-fidelity finite element, detailed finite element, data set, trauma research, finite element
Hybrid simulation, Kelvin-Helmholtz instability, massless fluid representation, Hybrid, instability, simulation of space, space plasmas, simulation, Kelvin-Helmholtz, fluid representation, MAKS Press, layer, massless fluid, field, space
Exam applet, freely available Java, On-line Homework, performance on line, Java software, Java program, evaluate student performance, Quiz, Exam, Homework, Java, line The Homework, software for evaluating, student performance, applet
meet current information, current information requirements, future expansion, poses a number, meet current, information technology investments, model, evaluation, information technology, technology managers, factors, risks factors, investments The decision, technology investments, technology poses
Microsoft Project, enterprise debut, Microsoft, multiple Web projects, long-time favorite, project managers, Web-based collaboration tools, OLAP support make, manage multiple Web, Web projects, making its enterprise, Project, enterprise, scalability with OLAP, multiple Web
color differences Due, perceptual color differences, define perceptually based, image rendering processes, synthetic color images, synthetic images based, digital simulations, perceptually based metrics, increasing importance, importance of quantitative, quantitative comparisons, essential to define, enable to objectively, objectively assess, assess the visual
construct Boolean algebras, ZFC using pcf, Boolean algebras, assuming squares, results on ultraproducts, construct Boolean, prescribed behaviour, free product, Boolean, ZFC, behaviour concerning depth, algebras, constructions for Boolean, depth, implies ind
class of solutions, number of steps, constructive system embedding, System embedding, Bezout matrix identities, polynomial equations including, Polynomial equations, Bezout matrix, constructive system, embedding, System, equations including, Euclidean algorithm, equations, including their generalizations
computer disk drive, disk drive dual-stage, drive dual-stage servo, dual-stage servo systems, discrete time pole, time pole placement, placement design method, MEMS applications, decoupled discrete time, pole placement design, applications in computer, computer disk, disk drive, servo systems, time pole
recurrent bus induced, recurrent bus, bus stops, circular route, bus, recurrent, periodic motions, bus induced, bus passes, stops without stopping, recurrent bus exhibits, stops, periodic, nonlinear map, Dynamical
DNA Large-scale genotyping, profiling require affordable, expression profiling require, microwell polymerase chain, ultrathin-layer gel electrophoresis, Rapid microwell polymerase, DNA Large-scale, fully automated high-throughput, polymerase chain reaction, automated high-throughput devices, devices enabling rapid, subsequent ultrathin-layer gel, high-throughput devices enabling, ultrathin-layer gel, gel electrophoresis
National governments, tame activity, Virtual borders, working to tame, Internet activity, National, real laws, activity, protecting consumer interests, Internet, borders, governments are working, laws, Virtual, real
materials requirements planning, improve materials requirements, requirements planning performance, requirements planning, Managing safety, strategic stocks, improve materials, planning performance, environments to face, safety and strategic, performance This paper, face uncertainty, uncertainty in market, MRP, materials
IBM internship program, innovative technology ideas, develop innovative technology, Fresh voices, big ideas, computer-science and MBA, MBA students, IBM internship, technology ideas, IBM is matching, matching up computer-science, business managers, develop innovative, IBM, ideas
Randomized two-process wait-free, two-process wait-free, Randomized two-process, randomized algorithm, Randomized, two-process, algorithm for two-process, wait-free, explicit, simplest, reader atomic variables, present, algorithm, single, elementary
Web site scripting, specialty brokers, overnight accommodation, accommodation are rapidly, rapidly being displaced, Web sites replace, product distribution channels, Web site, pioneered Internet usage, Internet usage relied, pricing, Internet, displaced by Web, Web, predecessor product distribution
Nonlinear extrapolation algorithm, scalar random process, extrapolation algorithm, Nonlinear extrapolation, algorithm is proposed, scalar random, algorithm, algorithm for realization, Nonlinear, nonlinear random dependences, method, random process, extrapolation, method of construction, nonlinear random
Internet-based information services, trusted computer system, computer system security, business level experience, information systems management, system security evaluation, networked information systems, computer professionals inherited, business risk management, Web or Internet-based, computer system, information systems, happened to MULTICS, trusted computer, fourth generation
Internet gambling Technology, Internet gambling, gambling Technology, market opportunities, Internet, played a role, practices and continues, continues to provide, provide new market, gambling, Technology, gambling practices, social impact, impact of Internet, problem gambling
cheap company stock, Crown Castle International, Industry insiders loading, beleaguered sector, confidence from management, cheap company, executives and directors, directors purchasing, months points, renewed optimism, view the rash, vote of confidence, company stock, telecom executives, Crown Castle
Fault-tolerant Hamiltonian laceability, Fault-tolerant Hamiltonian, bipartite graph, Hamiltonian laceability, Hamiltonian path, Hamiltonian, exists a Hamiltonian, laceability of hypercubes, exists, subset of edges, vertices, path, partite, partite set, Fault-tolerant
Information architecture, article suggests, suggests that Information, Information, architecture, design, internal theory, process, design process, inductive design process, inductive, theory, Constructive Induction, architecture without internal, process involves bottom-up
Japan Nissan Motor, Nissan, Uzi Nissan, Japan Nissan, Nissan Motor, trademark dispute, trademark, case, Internet, paper discusses, case of David, nissan.com Internet domain, dispute, Internet domain, global Internet
direct digital modulation, converter based, high-resolution oversampling, direct digital, modulation is addressed, called differential-quad switching, DAC, converter, switching, switching scheme, based on differential-quad, scheme, differential-quad, paper, CMOS technology
coded imaging systems, optical information processing, apertures imaging system, periodic apertures imaging, periodic rectangular apertures, imaging system, coded imaging, mask, periodic apertures, pinhole cameras, optical information, apertures, periodic, adopted very widely, widely and plays
Model intestinal microflora, poorly understood, modeling package, package for host-microflora, host are poorly, Model intestinal, host-microflora interactions, human intestinal, computer simulation, interactions The ecology, modern molecular methods, simulation, intestinal, microflora, Model
personal computer industry, industry Filson, personal computer, quantity and quality, Product and process, firm numbers, computer industry, process innovations, life cycle, industry-level data, data on firm, nature and effects, cost improvements, equilibrium model, industry
Classical automata, Fuzzy automata, computing, automata, computing with words, Fuzzy, Classical, words, formal models, formal, words Classical, models, models of computing, process, input
operation of gate, gate of ion, neural network model, Araki and Aihara, network model proposed, dynamical neural network, neural network, network model, proposed by Araki, Noise effect, memory recall, model proposed, entorhinal cortex, synaptic clefts, ion channels
high throughput experiments, templated zeolite synthesis, high throughput, zeolite synthesis, Monte Carlo-like design, templated zeolite, synthesis are addressed, redesign of high, Carlo-like design protocols, high, synthesis, throughput, Monte Carlo-like, zeolite, relates materials function
fulfillment RFP, mysterious and daunting, request for proposal, Writing the fulfillment, writing a request, Writing, RFP, publishing, uninitiated, daunting, request, proposal, mysterious, format, make
SAR QSAR Environ., QSAR Environ. Res, MTD, MTD method, PLS-based variant, SAR QSAR, PLS variant, method, MTD models, previous MTD models, MTD-PLS, PLS-based, variant, MTD hypermolecule, previous MTD
modified signed-digit adder, substitution is presented, signed-digit adder, symbolic substitution, incoherent correlator based, shared content-addressable memory, modified, signed-digit, one-step MSD addition, reported one-step MSD, adder based, based on symbolic, efficient one-step, correlator based, adder
fast convolution-based time-domain, convolution-based time-domain approach, physical device model, fast convolution-based, Convolution-based global simulation, time-domain approach, presented that incorporates, incorporates a physical, detector or mixer, global photonic-circuit simulation, global simulation technique, complete detector, Convolution-based global, device model, global photonic-circuit
Bruce Kaufman article, bounded rationality, Kaufman Bruce Kaufman, source of bounded, Kaufman Bruce, Bruce Kaufman, rationality, cognitive constraints, additional source, high emotional arousal, present an additional, due to cognitive, bounded, Kaufman, high emotional
high-density negative-gate channel-erasing, channel-erasing NOR flash, negative-gate channel-erasing, high-density negative-gate, maximum internal voltage, flash memories, High-voltage transistor scaling, transistor scaling circuit, scaling circuit techniques, High-voltage, channel-erasing, maximum internal, circuit techniques, high-density, internal voltage
operations research approach, Analyzing the potential, operations research, provide goods, marketplace under restrictions, restrictions imposed, business environment, firm functions, research approach, potential, firm, Analyzing, approach, linear programming problems, firm ability
information systems, organization structures, information system architectures, information, highly interconnected, structures, structures Information systems, organization, systems, system architectures, architectures, evolution, highly, interconnected, impact
Canadian National Site, National Site Licensing, Site Licensing Project, National Site, historic inter-institutional agreement, Site Licensing, three-year pilot project, pilot project aimed, launched the Canadian, Canada signed, country universities, universities in Canada, signed a historic, agreement that launched, three-year pilot
