gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
Deterministic single-photon source, single three-level atom, three-level atom strongly, atom strongly coupled, high-finesse optical cavity, Deterministic single-photon, distributed quantum networking, single three-level, single-photon source, source for distributed, emitted on demand, three-level atom, atom strongly, strongly coupled, high-finesse optical
automatic test equipment, embedding innovative circuits, load off ATE, Self-testing chips, circuits in silicon, automatic test, test equipment, equipment by embedding, embedding innovative, innovative circuits, ATE, Self-testing, silicon, chips, load
parallel two-step W-methods, two-step W-methods, parallel two-step, systems Parallel two-step, linearly-implicit integration methods, analysis and testing, stiff systems Parallel, W-methods, W-methods are linearly-implicit, parallel, linearly-implicit integration, systems Parallel, two-step, computed in parallel, W-methods for stiff
end system multicast, end systems, multicast related functionality, multicast, implementing multicast related, end, system multicast, conventional wisdom, natural protocol layer, systems, related functionality, multicast related, functionality, higher layer functionality, implementing multicast
trifocal tensor based, trifocal tensor, Gaussian mixture model, tensor based, mixture model, GMM, Gaussian mixture, tensor using GMM, Estimation of trifocal, Gaussian distributions, Estimation, trifocal, tensor, Gaussian, mixture
Human factors research, synthesizes human factors, conceptual data modeling, data modeling, Human factors, factors research, synthesizes human, future research directions, research, modeling, extended framework, conceptual data, prior research, factors, research directions
VPP Fortran, HPF, extensions VPP Fortran, Fortran, VPP, series of supercomputers, VPP series, data parallel language, Language Specification Version, Language Specification, low-level features, NAS Parallel Benchmark, pure data parallelism, extensions VPP, language
delivering multimedia content, grids Streaming multimedia, computational grids Streaming, increasingly popular, popular over distributed, distributed systems, computational grids, Access Grid, delivering multimedia, multimedia content, TCP, enabling mechanism, Internet, stream multimedia include, multimedia include remote
Securities Industry Association, SIA shelves, Securities Industry, Industry Association, decision till, Association has decided, SIA, Industry, industry can handle, Securities, Association, STP, decision, till, shelves
Web site construction, Web site, Internet web sites, computer program construction, Web, web sites, Web site design, Internet web, computer program, manageable programs, site, decades of computer, provided guidance, guidance to produce, produce more manageable
slow time scales, relaxation oscillations Relaxation, forced relaxation oscillations, relaxation oscillations, time scales, der Pol equation, harmonically forced relaxation, oscillations Relaxation oscillations, processes which involve, involve transitions, states characterized, characterized by fast, fast and slow, slow time, van der Pol
factors Accurate determination, scatter factors Accurate, modulated radiation therapy, Accurate determination, collimator jaw settings, factors Accurate, intensity modulated radiation, head scatter factors, important issue, collimator, head scatter, three-source model, Phys. Med. Biol., irregular open fields, irregular fields shaped
control room design, Reactor Project, computer-based support system, support system areas, Halden man-machine systems, Halden MMS programme, address issues related, control room, Halden MMS, human factors, support system, intended to address, room design, computer-based support, safety and reliability
Mathematical model, insurance company, advertising expenses, company with allowance, allowance for advertising, model of functioning, advertising, model, insurance, allowance, Mathematical, functioning, company, expenses, advertising efficiency
valuing risky corporate, Valuing corporate debt, risky corporate debt, corporate debt, valuing risky, Valuing corporate, developed a simple, simple approach, securities issued, debt, risky corporate, cross-holdings, corporate, payoff functions, Valuing
Attempting to grasp, extremely difficult, safeguards for intellectual, intellectual property, property is extremely, daunting technological challenges, proposed safeguards, cultural issues-both domestic, Attempting, conflicts and proposed, Recently proposed legislation, international-loom large, technological challenges, Digital, wrongs
dual-mode sapphire-loaded cavity, sapphire-loaded cavity resonator, sapphire-loaded cavity whispering, cavity whispering gallery, whispering gallery resonator-oscillator, sapphire-loaded cavity, medium-term frequency stability, dual-mode sapphire-loaded, cavity resonator, cavity whispering, microwave oscillators, oscillators by utilizing, utilizing the dual-mode, resonator The design, design and experimental
induction motor control, motor control structure, external disturbances, induction motors, paper deals, robustness and stability, structure against internal, internal and external, motors This paper, motor control, induction, control structure, control approach, control, control approach performances
multi-state systems composed, lower bound points, called d-Mincuts, multi-state components, problem Many real-world, points of level, multi-state systems, real-world systems, systems composed, composed of multi-state, multi-state, d-MC problem, systems, lower bound, bound points
distributing video contents, server video stream, service Multicast offers, programs to multiple, offers an efficient, multiple clients, share a server, Multicast offers, Batching customers' requests, client-initiated video multicasts, video contents, video stream, distributing video, server video, broadcast
web hosting service, hosting service provider, hosting service, Selecting a telecoms, Impossible choice, web hosting, service provider, game of chance, high-stakes game, Selecting, hosting, service, telecoms and web, web, provider
construct a hybrid, classification, combining two classifiers, classifier by combining, classifiers in common, k-NN, classification trees, test set items, classify test set, composite, classification rule, hybrid, tree, trees, classifier
information, information gathering method, daily life, intelligent information gathering, dynamic information mediators, information sources, information gathering, gathering method, society rapidly, Internet, sources, method, FIFO information gathering, intelligent information, dynamic information
case based reasoning, case based diagnosis, feature weight setting, exploit feature weight, case based, linear programming problems, Formalising optimal feature, optimal feature weight, feature weight, based reasoning, weight setting algorithms, linear programming, distance functions, weight setting, based diagnosis
data warehousing systems, data, data warehouse, underlying data sources, data warehousing, warehousing systems, data sources change, Schema, underlying data, data sources, schema capabilities, warehouse, issues related, warehousing, Schema evolution
computing profession, Gender benders, ignorance or malice, upper levels, mistreated through ignorance, profession, computing, Gender, benders, malice, women, wit and panache, minority, upper, levels
speed horizontal axis, larger scale fixed, horizontal axis wind, scale fixed speed, fixed speed horizontal, axis wind turbine, Active pitch control, speed wind turbine, fixed speed wind, wind turbine systems, fixed speed, wind turbine, rated wind speed, larger scale, horizontal axis
Web content extraction, Web content, Web, company Web, job, content extraction, WhizBang, company Web sites, checks company Web, extraction, Web sites, Web site, Extraction Framework, content, approach
stiff differential systems, diagonally implicit multistage, implicit multistage integration, stiff differential, multistage integration methods, differential systems, DIMSIMs for stiff, Implementation of DIMSIMs, implementation of diagonally, issues related, diagonally implicit, implicit multistage, multistage integration, simplified Newton iterations, Matlab ODE suite
voice recognition, money talks, financial fraud, biometric technology, problem of financial, world of biometric, voice, recognition, talking, fraud, technology, money, talks, answer, problem
equation system solvers, polynomial equation system, Quadratic Newton iteration, point of view, Newton iterator, popular components, components of polynomial, polynomial equation, numeric or symbolic, symbolic point, multiplicity Newton iterator, Newton iteration, Generalizing Newton iterator, system solvers, equation system
disaster planning, terrorist attack, business disruption, power failure, planning in banks, disaster, attack, unexpected, planning, business, disruption, simple, power, failure, complex
selective representing-the idea, Selective representing, world-making We discuss, mental representations, highly constrained, biological niches, selective representing-the, Selective, representing and world-making, organisms evolved, representing-the idea, representing, mind-independent world, discuss the thesis, realist conception
fractional-order systems Due, systems Due, fractional-order systems, general fractional-order system, historical effects, fractional-order, time-varying initialization response, initialized fractional-order systems, paper presents, presents a general, theory that includes, includes the time-varying, initialization response, systems, response
future Computer scientists, changed in quantity, collective products, products have grown, grown and changed, information technologists, Computer scientists, computer engineers, Computing, Computer, women, information fields, democracy, quality, information
Carreira-Perpinan and Goodhill, authors apply mathematical, apply mathematical arguments, Goodhill, Reply to Carreira-Perpinan, arguments to biology, authors apply, paper by Carreira-Perpinan, biology, Carreira-Perpinan, mathematical arguments, linear model, mathematics, apply mathematical, mathematics in biology
time adaptive self-organizing, adaptive self-organizing map, growing time adaptive, time adaptive, adaptive self-organizing, Automatic multilevel thresholding, self-organizing map, Growing TASOM, peak finding process, Automatic multilevel, growing time, network called, image segmentation, multilevel thresholding, adaptive
Efficient feasibility testing, vehicle-operating agency requesting, item tie picked, systems involve dispatching, specific destination, specific location, Efficient feasibility, feasibility testing, dispatching a vehicle, vehicle to satisfy, satisfy demands, set of customers, customers who call, call a vehicle-operating, vehicle-operating agency
moving tissue environments, signal processing strategy, eigendecomposition-based adaptive filter, processing strategy, eigendecomposition-based clutter rejection, high resolution color, high frequency color, clutter rejection, eigendecomposition-based adaptive, resolution color flow, frequency color flow, clutter rejection filter, high resolution, high frequency, tissue environments
offer superb opportunities, Pool halls, everyday life, superb opportunities, opportunities for people, people in jobs, jobs and everyday, offer superb, noticeable sex difference, war games, Computers, apparent sex differences, chips, computing, Pool
Brunei Darussalam, colleges in Brunei, technical colleges, non-computing students, Brunei, computer attitudes, Darussalam, study surveyed, attitudes, computer, Darussalam The study, colleges, non-computing, technical, measure computer attitudes
shape memory alloy, memory alloy wires, SMA wires, shape memory, SMA wires exhibiting, one-way shape memory, polyurethanes Shape memory, alloy wires embedded, one-way SMA wire, two-way shape memory, SMA wire embedded, shape memory effect, SMA, opposing SMA wires, repeatable actuation behavior
combating state explosion, symbolic model checking, model checking, checking State space, State space, Bisimulation minimization, model checking State, State space minimization, state explosion, space minimization techniques, model, state space prior, minimization, combating state, symbolic model
stochastic discrete systems, discrete systems disturbed, stochastic discrete, discrete systems, systems disturbed, identification approach, model frequency-domain estimate, frequency-domain estimate, FIR models, approach for FIR, identification, optimal frequency estimation, estimate, FIR, frequency-domain optimal parameter
Sandy Kemper, Remember e-commerce, e-commerce company eScout, outspoken CEO, CEO of successful, successful e-commerce company, Remember, e-commerce, opportunities lie ahead, market turned tentative, company eScout, offers his views, early excesses, Kemper, successful e-commerce
Loop, minimize data traffic, analyzing the flow, loop nests, loop nest, on-chip memory embedded, on-chip memory capacity, on-chip memory, memory, memory embedded processors, limited on-chip memory, data traffic, data, memory embedded, memory capacity
computing history Exciting, history Exciting inventions, politics fill computing, intriguing politics fill, fill computing history, Exciting inventions, computing history, history Exciting, human interaction, fill computing, intriguing politics, politics fill, innovative technology, computing, Exciting
Purdue University Libraries, University Libraries library, Technical Information Service, fee-based information service, Libraries library fee-based, esoteric document requests, library fee-based information, Purdue University, University Libraries, information service, Technical Information, fee-based information, Libraries library, document requests, library fee-based
maintains human touch, virtual community maintains, community maintains human, maintains human, human touch, works why change, virtual community, community maintains, Web, back when Internet, Internet businesses, Web content, Web ads, virtual, Web sites
algebraic systems anew, Differential algebraic systems, stated leading terms, proposed to figure, Differential algebraic, differential algebraic equations, algebraic systems, systems anew, leading term, properly stated leading, algebraic, Differential, algebraic equations, systems, index linear systems
extra work Creating, creating extra work, Creating Web-based listings, electronic journals, listings of electronic, creating extra, work Creating, Creating Web-based, Creating, electronic, extra work, challenging due, electronic journals arranged, Web-based listings, electronic journal titles
asynchronous reliable multicast, autonomous receivers motivates, digital fountain, reliably distribute large, digital fountain approach, reliably distribute, digital, rich content, vast number, number of autonomous, broadcast protocols, reliable multicast, multicast The proliferation, multicast and broadcast, autonomous receivers
PCI-based FPGA card, study reconfigurable computing, PCI-based FPGA, FPGA card, FPGA, development and evaluation, order to study, PCI-based, card, reconfigurable computing, DSP, paper describes, study reconfigurable, card This paper, features enable FPGA
Palms win laurels., Palms win, win laurels., Palms, laurels., harnesses the ARM, ARM architecture, win, ARM, PalmSource latest, business software, older applications, PalmSource, software, applications
newly designed microprocessors, equipped hardware laboratories, specially equipped hardware, Silicon debug, model checking, newly designed, tested in specially, specially equipped, real applications, hardware laboratories, hardware speeds, designed microprocessors, equipped hardware, logic model checking, Silicon
positron emission tomography, emission tomography, F-FDG positron emission, positron emission, F-FDG, F-FDG uptake, PET, Fourier-based ECG-gated PET, metabolic PET, Fourier-based ECG-gated, uptake, ECG-gated metabolic PET, F-FDG positron, patients, coronary artery disease
general recursive functions, Kleene-Mostowski arithmetic hierarchy, complexity of index, general recursive, index sets, families of general, recursive functions, arithmetic hierarchy, Evaluating the complexity, Kleene-Mostowski arithmetic, hierarchy The complexity, functions is evaluated, complexity, index, general
reduced game property, converse reduced game, game property, weak reduced game, individual rationality, reduced game, converse reduced, characterized by nonemptiness, weak symmetry, market games, weak reduced, shown by Peleg, property, Peleg, reduced
dynamic representations serves, reply to Chris, Chris Eliasmith, neuroscience to emerge, dynamic representations, representations serves, integrative neuroscience, importance of continuity, notion of continuity, Eliasmith, continuity, spike arrival times, Poznanski, reply to Eliasmith, reply
Planning linear construction, earthwork activities Earthworks, linear construction projects, road construction projects, activities Earthworks planning, linear construction, road construction, automated method, construction projects, Earthworks planning, earthworks planning process, complex operation, earthwork activities, activities Earthworks, Planning linear
Auto Attendant System, portable Auto Attendant, Auto Attendant, Attendant System, attendant system connects, System, caller, sophisticated dialog structure, portable Auto, Attendant, sophisticated dialog, Auto, system connects, connects the caller, dialog structure
complexly shaped multiply, mesh generation Large, complexly shaped domains, modern materials science, generation Large number, complexly shaped, finite element mesh, shaped multiply connected, finite element, multiply connected domains, finite element models, generation Large, element mesh generation, multiply connected, Large number
agent-based models support, Modeling group foraging, individual suboptimality, group situation, isolated individual, series of agent-based, support the hypothesis, group foraging, agent-based models, models support, Modeling group, behaviors adapted, evolve foraging behaviors, group, individual
Lyapunov function method, generalized sufficient condition, Lyapunov function, discrete-time neural networks, function method, fixed point, present a proof, generalized sufficient, discrete-time neural, neural networks, sufficient condition, Asymptotical stability, Lyapunov, Chen and Aihara, discrete-time
academic law librarians, Law librarians' survey, academic law, law librarians, academic law library, Law, librarians' survey, SPTL survey, academic, librarians, law library profession, survey, librarians in decline, law library, BIALL
tutorial Flooding-based distributed, flooding-based distributed, tutorial Flooding-based, DDoS attack methods, DDoS attack, Defending against flooding-based, flooding-based, typical DDoS attack, distributed, Internet, attack, Internet connection, DDoS, attack methods, Internet core
network simplex algorithm, simplex algorithm, network simplex, primal simplex algorithm, consecutive degenerate pivots, degenerate pivots, cost flow problem, minimum cost flow, simplex, simplex algorithm performs, network, primal simplex, flow problem, algorithm, consecutive degenerate
Key Digital Leeza, Scaling interlaced video, Scaling interlaced, match high-resolution plasma, Presenting-a better mousetrap, Key Digital, high-resolution plasma, tough job, outboard video signal, DLP displays, Leeza outboard video, LCD, Scaling, video signal processor, Leeza
rarely make history, behaved women rarely, women rarely make, rarely make, make history, behaved women, women rarely, women, history, computer science, behaved, rarely, make, computing business, computing
partial differential equation, paper addresses robust, Robust model-order reduction, addresses robust model-order, complex biological processes, high dimensional nonlinear, dimensional nonlinear partial, nonlinear partial differential, Robust model-order, complex biological, model-order reduction, differential equation, addresses robust, processes This paper, paper addresses
reduce overshoots appearing, Fractional motion control, path tracking design, cutting table, motion control, small displacements, order to reduce, reduce overshoots, overshoots appearing, appearing for small, tracking design, path tracking, cutting table model, cutting, Fractional motion
population learning algorithm, technical feasibility constraints, optimization problem Proposes, hybrid approach integrating, learning algorithm approach, learning algorithm applied, solving reliability optimization, population learning, artificial neural network, Proposes a hybrid, maximising system reliability, learning algorithm, dedicated artificial neural, dedicated neural network, reliability optimization problem
cutting-edge manufacturers begin, factory floor, widespread basis, Ethernet networks, pretty clear, implementation as cutting-edge, cutting-edge manufacturers, manufacturers begin, begin to adopt, adopt the technology, clear that Ethernet, won the battle, network of choice, won in implementation, Ethernet
Ultra-high speed positioning, gravure engraving unit, speed positioning control, Ultra-high speed, speed positioning, gravure engraving, engraving unit, control, high-precision response, electro-magnetic actuator, piezoelectric, high-speed, high-speed and high-precision, positioning control, response
achieve five-nines reliability, everyday commercial-quality hardware, achieve five-nines, five-nines reliability, reliability with everyday, everyday commercial-quality, high availability, software design patterns, Design patterns, commercial-quality hardware, high availability systems, high, availability, software, Design
Quick media response, media response averts, Cyber Patrol Internet, popular Cyber Patrol, Patrol Internet filtering, Cyber Patrol, Microsystems Software pulled, Internet filtering software, response averts, averts PR disaster, Quick media, Patrol Internet, media response, Microsystems Software, standard crisis management
dose optimization algorithms, dose optimization, dose distribution, dose, Effect-volume histogram, EVH, optimization algorithms, optimum dose distribution, dose distribution result, distribution, analysis, treatment goals, objectives, optimization, tool
enzyme fermentation process, process prediction, biotechnological process prediction, process prediction tests, hybrid models, hybrid mathematical models, prediction and optimization, optimization results obtained, enzyme fermentation, structure hybrid mathematical, prediction, optimization of enzyme, process, hybrid, models
Self-describing Turing machines, sketchy historical account, Self-describing Turing, Turing machines, sketchy historical, historical account, discussing the definition, definition of suitable, suitable encodings, give the construction, Turing, self-describing machines, self-describeness and self-reproduction, instructions, Self-describing
induction machine drive, field-oriented induction machine, induction machine, speed-sensorless control, Design and implementation, machine drive, sliding-mode observer, observer for speed-sensorless, field-oriented induction, control algorithm, proposed algorithm, induction, machine, control, speed estimation
components analysis Bad, analysis Bad pixels, principal components analysis, Bad pixels, Bad pixel identification, principal components, pixels, showing a temporal, temporal evolution, analysis Bad, Bad, Bad pixel, pixels showing, components analysis, principal
nuclear magnetic resonance, Quantum-information processing, quantum systems, Experimental implementation, nuclear magnetic, magnetic resonance, quantum, half-adder and subtractor, subtractor operations, system, systems, Experimental, efficiently performing, processing by nuclear, computational tasks
resolution based proof, temporal logic CTL, Clausal resolution, resolution based, rational agency, Temporal Logic, based proof system, branching-time temporal logic, logic, representing belief, logic CTL, Belief is presented, Temporal, agency A resolution, resolution
Editorial system vendors, system vendors focus, Editorial system, newspaper-system market, system vendors, vendors focus, Mac, focus on Adobe, Adobe InDesign, alternative to Quark, Quark XPress, Adobe, Editorial, market, respect
control chart pattern, control charts, chart pattern recognition, control, control charts based, learning vector quantization, chart pattern, vector quantization, learning vector, LVQ, charts, learning, fuzzy-soft learning vector, learning network approach, pattern recognition
Surrey County Council, County Council Swan, Council Swan project, network Surrey County, Europe biggest implementation, VoIP makeover transforms, Surrey County, County Council, Council Swan, duckling network Surrey, makeover transforms ugly, transforms ugly duckling, Swan project, project is Europe, Europe biggest
hearing people Discusses, hearing loss presents, people Discusses, Discusses the nature, Information access, deaf and hard, nature of deafness, hearing impairments, hard of hearing, hearing people, hearing loss, loss presents, present practical tips, onset of hearing, hearing
introduces Java programming, introducing Java programming, Virtual Family, gender-neutral game-based software, introduces Java, Java programming, introducing Java, discusses Virtual Family, Java, Family, Virtual, Virtual Family teaching, approach to introducing, gender-neutral game-based, game-based software
Genetic algorithm-neural network, torso surface asymmetry, input torso indices, artificial neural network, algorithm-neural network estimation, scoliosis Scoliosis severity, Cobb angle, torso asymmetry, torso indices, Genetic algorithm-neural, algorithm-neural network, network estimation, neural network, surface asymmetry, genetic algorithm
library information systems, LIS educators, LIS community, isolated theorist, fully the contribution, information systems, make to society, classification makes, role and future, future of subject, exploitation of resources, educators appreciate fully, integral part, subject classification, library information
Fidelity and Berkshire, Berkshire Group, Group of Companies, strong technology platform, financial institutions, products and services, cross selling, charged with developing, developing a strong, sell their products, cross sell, Fidelity, strong technology, technology platform, finance
current transients, PSTH response, PSTH, response to current, time, input, spike, input spike, time constant, model, membrane time constant, response, PSTH data, simulated PSTH data, data
nonlinear parabolic equations, fully nonlinear parabolic, nonlinear parabolic differential, parabolic differential equations, study time discretizations, nonlinear parabolic, parabolic equations, fully nonlinear, parabolic differential, differential equations, study time, time discretizations, discretizations of fully, equations We study, nonlinear
ETACT scintimammography Emission, scintimammography Emission tuned, Emission tuned aperture, aperture computed tomography, scintimammography Emission, tuned aperture computed, Emission tuned, ETACT scintimammography, Angular disparity, ETACT, computed tomography, tuned aperture, aperture computed, previously shown, Angular
health care environments, Health Level, enables disparate computer, disparate computer applications, health care, exchange key sets, electronic data exchange, encoder and decoder, Health, Design and implementation, care environments, enables disparate, message, disparate computer, computer applications
noise Iterative gradient, Iterative gradient methods, Iterative gradient, brain noise Iterative, MEG source localization, MLP, accurate MEG source, noise Iterative, trained, MLP trained, MEG source, noise, Fast accurate MEG, source localization, real brain noise
Library of Congress, cataloger workstation revisited, utilizing Cataloger Desktop, Cataloger Desktop, electronic cataloging tool, cataloging tool aggregator, workstation revisited, cataloging tool, opportune time, online cataloging tools, utilizing Cataloger, Cataloger Desktop stands, Cataloger Desktop highlight, cataloging operations, cataloger
signal processing, power quality events, discrete short-time Fourier, events This paper, paper deals, signal processing tools, signal processing techniques, power quality analysis, discrete STFT, short-time Fourier transforms, power quality, STFT, quality events, processing, quality analysis
association has brought, article outlines, closer association, increasing convergence, information departments, mutual benefits, information, academic This article, outlines the increasing, benefits, information profession, academic, convergence between academia, brought, specialist skills
services choices manufacturers, Technology decisions, critical hardware, services choices, choices manufacturers, manufacturers are making, begin to emerge, recession and position, software, Technology, decisions, hardware, future, paper, critical
influence aesthetic preferences, influence aesthetic, physical size, aesthetic preference judgments, aesthetic preference, object can influence, physical, aesthetic, preference judgments, influence, influence of physical, stimuli, preference, participants, judgments The hypothesis
Average Run Length, probabilistic control charts, constructing control charts, procedures of constructing, control charts, probability theory, linguistic data, fuzzy, fuzzy and probability, probabilistic control, constructing control, fuzzy and probabilistic, Average Run, Run Length, control
stenosed coronary artery, coronary flow reserve, Numerical modeling, coronary artery, flow reserve, fractional flow reserve, coronary arterial stenosis, flow, coronary, coronary flow, main hemodynamic parameters, parameters, stenosis, stenosed coronary, simple geometrical parameters
flow problem Minoux, balanced flow problem, maximum balanced flow, generalized maximum balanced, total flow, generalized maximum flow, balanced flow, maximum flow problem, flow problem, problem Minoux, generalized flow, maximum balanced, flow, maximum flow, fixed proportion
Leucadia National Corp, Leucadia National, National Corp, end of Chapter, telecom, Chapter, Leucadia, Corp, Williams Communications, National, Williams, Williams nears end, Communications, end, million boost
law library users, broader view, law library, local reference library, perfectly appropriately continue, Internet resources, library users, start with Internet, library, location mark indicating, reference library, users The author, Cataloguing, usual, office
Congress subject headings, Library of Congress, assigning Library, Congress subject, classical literature, ancient history, subject headings, world view, literature and ancient, question of perspective, article explains, explains the concept, influences the development, development and assignment, ancient civilizations
FACTS devices installed, Intelligent optimal sieving, FACTS device output, FACTS device, multi-target oriented optimal, FACTS device control, optimal sieving, FACTS, multi-machine power systems, optimal sieving method, installed in multi-machine, optimal sieving control, multi-target oriented, Intelligent optimal, oriented optimal control
business information units, professionals commonly overlook, business information professionals, commonly overlook ethical, information professionals commonly, business information, overlook ethical dilemmas, information professionals, units The primary, commonly overlook, competent information professionals, information units, professionals commonly, primary thesis, ethical dilemmas
product lifecycle management, lifecycle management, implement targeted projects, targeted projects intended, deliver return-on investment, product lifecycle, manufacturing companies, timely fashion, second-generation PLM products, widely recognised, manufacturers begin, begin to identify, identify and implement, implement targeted, targeted projects
gating charge movement, transient gating charge, gating charge, calcium ion channels, ion channels, potassium channel gating, gating, voltage-gated sodium, voltage-dependent ion channels, ion, charge movement, transient gating, channel gating, channel gating currents, calcium ion
one-dimensional cellular neural, cellular neural network, neural network mosaic, mosaic patterns, network mosaic patterns, spatially variant templates, spatially variant, CNN with spatially, variant templates, mosaic, work investigates, investigates the complexity, complexity of one-dimensional, one-dimensional cellular, cellular neural
texture, synthetic, mammograms, mammogram texture, clinical, tissue, Mammogram, synthetic mammograms, clinical texture, synthetic mammogram texture, tissue regions, features, synthetic texture feature, synthetic images, compartments
Evaluation of existing, feature recognition algorithms, feature detection, National Design Repository, feature, feature recognition, algorithms, recognition algorithms, Experimental results, feature detection algorithms, feature detection face, feature detection techniques, detection, general-purpose feature detection, SUN Workstation
institution mobile play, wireless success, mobile play, key to wireless, desk can make, make or break, break an institution, institution mobile, Ameritrade and RBC, Help-desk support, finance, Help-desk, success, play, RBC are taking
temperature, cutting, temperature-activated wear, Modeling cutting temperatures, temperature correction factor, tool, interest in machining, fail by thermal, thermal softening, softening or temperature-activated, cutting temperatures, correction factor model, inserts, tool geometries, temperature correction
graduate seminar format, addresses cutting-edge issues, traditional graduate seminar, seminar format, Network-centric systems, author describes, describes a graduate-level, addresses cutting-edge, cutting-edge issues, traditional graduate, graduate seminar, systems The author, issues in network-centric, Network-centric, systems
infinite duration two-player, time special case, duration two-player games, two-player games played, linear time special, special case, infinite duration, duration two-player, linear time, games, time special, two-player games, games played, linear, linear time algorithm
quadrature mirror filter, mirror filter bank, filter lattice filter, coefficient quadrature mirror, mirror filter lattice, lattice filter bank, structure quadrature mirror, coefficient lattice structure, lattice structure quadrature, mirror filter, filter bank, quadrature mirror, coefficient quadrature, filter lattice, lattice filter
Petri net evolutions, Transition Petri net, Transition Petri, Petri net, Petri nets, Petri, relationships are considered, semantic domains, analysis and synthesis, net evolutions, Transition, analysis, synthesis, Place, nets
online marketplaces evolve, online marketplaces, customer demand, Trading exchanges, marketplaces evolve, evolving rapidly, exchanges are evolving, Trading, exchanges, online, demand, marketplaces, evolve, evolving, rapidly
open-architecture precision motion, motion control system, precision motion control, open-architecture precision, precision motion, motion control, control system, integrated and open-architecture, control, system, open-architecture, motion, system is presented, drive servo systems, servo systems based
inch magneto-optical disk, maintaining downward compatibility, inch magneto-optical, groove recording method, magneto-optical disk, downward compatibility, GIGAMO media, maintaining downward, inch, recording capacity, GIGAMO, groove recording, recording method, GIGAMO technology, magneto-optical
giving you tips, enterprise programming, common mistakes made, programming, enterprise, mistakes made, mistakes, made in enterprise, directly, common enterprise programming, common, enterprise programming mistakes, giving, tips, made
red-detuned laser beam, selectively addressable dipole, addressable dipole traps, far-detuned dipole traps, dipole traps obtained, atomic qubits, trap neutral atoms, Micro-optical realization, dipole traps, addressable dipole, realization of registers, far-detuned dipole, scalable configuration, experimentally demonstrate, demonstrate novel structures
complex parts typically, parts typically involves, sequential tolerance control, tolerance control, adaptive sphere-fitting method, machine tools, machining of complex, typically involves, involves a logical, logical and chronological, chronological sequence, Conventional tolerance control, sequential tolerance, tolerance control specifies, complex parts
Internet video broadcast, systems Multimedia applications, distribution systems Multimedia, Multimedia applications, Internet video, systems Multimedia, distance learning, stored video distribution, video, Internet, Multimedia, video broadcast, stored video, Aggregate bandwidth, bandwidth
Keeping Web accessibility, making Web sites, Web sites accessible, author discusses design, discusses design issues, Keeping Web, making Web, economic perspective, required by law, smart thing, Web accessibility, Web sites, presenting three compelling, compelling reasons, reasons for making
electronic commerce, electronic commerce programmes, electronic commerce professionals, electronic, commerce, Raising the standard, standard of management, growth industry, electronic commerce coursework, developing electronic commerce, electronic commerce narrows, aspiring electronic commerce, commerce programmes, commerce programmes raises, commerce professionals
gas-metal arc welding, process Arc instability, GMAW process, welding self-regulation process, arc welding self-regulation, self-regulation process Arc, gas-metal arc, arc welding, weld quality, arc, important determinant, determinant of weld, process, self-regulation process, GMAW
randomly varying blur, adaptive optics compensated, multiframe blind deconvolution, provide image enhancement, optics compensated imagery, low earth orbit, Starfire Optical Range, earth orbit satellites, Supersampling multiframe blind, reconstructing undersampled image, undersampled image sequences, deconvolution resolution enhancement, multiframe blind, compensated imagery, blind deconvolution
Quantum universal variable-length, universal variable-length source, variable-length source coding, universal variable-length, admissible minimum rate, universal variable-length code, Quantum universal, optimal quantum universal, admissible minimum, quantum states, minimum rate, variable-length source, source coding, coding We construct, achieves the admissible
Global Crossing, Hutchison Telecommunications, Telecommunications and Singapore, Singapore Technologies, Technologies take control, originally offered, investors get steal, lot less money, control of Global, Global, Crossing, Hutchison, Telecommunications, Singapore, Technologies
lightweight piezo-composite curved, piezo-composite curved actuator, middle PZT ceramic, piezo-composite curved, high CTE, middle PZT, lightweight piezo-composite, fiber composite layer, PZT ceramic wafer, CTE, curved actuator, top carbon fiber, PZT ceramic, thermal expansion, lightweight fiber reinforced
variable constant controller, simple variable constant, Chen systems, canonical Lorenz attractor, complex chaotic systems, letter investigates, joint function, variable constant, constant controller, chaotic systems, Chen, Chen attractor, complex chaotic, Lorenz, related chaotic systems
coherent receivers Coherent, receivers Coherent reception, Coherent reception depends, coherent receivers, receivers Coherent, Coherent reception, fast Fourier transform, long data sequences, reception depends, received signal, coherent, fast Fourier, long data, correlation of long, data sequences
wireless handheld devices, mobile network, caches are utilized, Modeling frequently accessed, weak consistency, data, handheld devices, wireless data access, data access, frequently accessed data, accessed wireless data, data access mechanism, Modeling frequently, wireless data, response times
computer clock track, personal computer clock, track the UTC, UTC timescale, personal computer synchronized, personal computer, clock track, computer clock, Internet, time servers spread, synch error, UTC, minimum synch error, computer synchronized, total synch error
expert systems, problem domains, financial problem domains, expert system problem, problem, accounting and finance, expert, system problem domains, systems, accounting, Knowledge acquisition, domains, developing expert systems, financial problem, Knowledge
Component-based software development, software development, important key technology, software configuration management, component-based software, component-based software configuration, software, software configuration, important key, key technology, component-based SCM model, supporting system Software, development, CBSD, system Software configuration
